DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35290041001,0.0292,0.0897,,0.0987,0.0619,0.1134,0.099,0.0662,0.0752,,0,0
35290041002,0.0293,0.0942,,0.1056,0.0613,0.1102,0.0973,0.0631,0.0762,,0,0
35290041003,0.0294,0.081,,0.1116,0.0388,0.0959,0.0879,0.0502,0.0698,,0,0
35290041004,0.0339,0.1443,,0.1646,0.0544,0.1424,0.124,0.0603,0.0634,,0,0
35290041005,0.0293,0.0812,,0.1191,0.0341,0.0969,0.089,0.0463,0.0537,,0,0
35290041006,0.0324,0.1674,,0.1483,0.0394,0.1455,0.1478,0.0507,0.0721,,0,0
35290041013,0.0267,0.0609,,0.0932,0.0111,0.0861,0.0793,0.041,0.0253,,0,0
35290041015,0.0258,0.0467,,0.0833,0.0099,0.0799,0.0569,0.0386,0.0253,,0,0
35290041016,0.026,0.0479,,0.0854,0.0102,0.0824,0.0586,0.0392,0.0238,,0,0
35290042003,0.0362,0.1004,,0.1987,0.0284,0.1772,0.1841,0.0456,0.1184,,0,0
35290042004,0.0328,0.0759,,0.1442,0.0297,0.18,0.1924,0.0407,0.1488,,0,0
35290042005,0.0352,0.0837,,0.2217,0.0269,0.1672,0.191,0.0395,0.093,,0,0
35290042007,0.0311,0.0835,,0.152,0.0092,0.1328,0.1541,,0.1035,,0,0
35290042008,0.0299,0.0604,,0.0976,0.0339,0.1799,0.2229,0.0376,0.1035,,0,0
35290042010,0.0381,0.0953,,0.2617,0.0198,0.1441,0.1692,0.0407,0.1263,,0,0
35290042015,0.0313,0.084,,0.1555,0.0093,0.1332,0.1549,,0.0941,,0,0
35290042016,0.0303,0.0726,,0.1124,0.0257,0.1642,0.2298,,0.1298,,0,0
35290042017,0.0464,0.1083,,0.4605,0.0296,0.1455,0.1567,0.043,0.0768,,0,0
35290043001,0.0312,0.142,,0.1191,0.0095,0.1477,0.1639,0.0378,0.082,,0,0
35290043002,0.0313,0.1423,,0.1191,0.0095,0.1477,0.1635,0.0378,0.0816,,0,0
35290043003,0.0299,0.1199,,0.1016,0.02,0.136,0.1721,,0.0971,,0,0
35290043004,0.0292,0.061,,0.082,,0.1361,0.1627,,0.0758,,0,0
35290043005,0.028,0.0432,,0.0749,,0.1421,0.1636,,0.0801,,0,0
35290043006,0.0284,0.0748,,0.0671,0.0082,0.1253,0.1645,,0.0802,,0,0
35290044002,0.0297,0.1162,,0.1003,0.02,0.136,0.1721,,0.0957,,0,0
35290044003,0.0296,0.0914,,0.1121,0.0267,0.1551,0.2329,,0.1257,,0,0
35290044004,0.0308,0.1384,,0.0773,0.0188,0.1542,0.2149,,0.1183,,0,0
35290044005,0.033,0.0673,,0.0755,0.0443,0.1301,0.4155,0.0384,0.1984,0.0001,0,0
35290044006,0.0306,0.0829,,0.0643,0.0292,0.1258,0.2334,0.0376,0.1338,0.0001,0,0
35290044007,0.035,0.0404,,0.0651,0.071,0.105,0.3106,0.0437,0.1948,0.0002,0,0
35290044008,0.0311,0.0675,,0.0467,0.0654,0.1217,0.2575,0.0427,0.1735,0.0002,0,0
35290044009,0.0323,0.0932,,0.1682,0.014,0.1641,0.1994,0.037,0.1573,,0,0
35290045001,0.0307,0.1384,,0.0773,0.0188,0.1542,0.2149,,0.1183,,0,0
35290045002,0.0287,0.0589,,0.0613,0.0137,0.1094,0.1699,,0.0702,,0,0
35290045003,0.0285,0.0493,,0.0581,0.014,0.1144,0.1751,,0.0766,,0,0
35290045004,0.0313,0.0734,,0.0662,0.0263,0.1296,0.2184,,0.1156,0.0001,0,0
35290045005,0.0314,0.0723,,0.0653,0.0273,0.1277,0.2269,,0.1166,,0,0
35290045006,0.0306,0.0698,,0.0529,0.0378,0.0939,0.2121,0.0404,0.1333,0.0002,0,0
35290045007,0.0284,0.0517,,0.0504,0.0226,0.1166,0.2209,,0.0794,,0,0
35290046002,0.0258,0.0302,,0.061,0.0086,0.1528,0.165,,0.0392,,0,0
35290046003,0.0248,0.019,,0.0464,,0.0679,0.1104,,0.0686,,0,0
35290046004,0.0258,0.0336,,0.0549,0.0116,0.2249,0.2145,,0.034,,0,0
35290046005,0.0223,,,0.0446,0.0148,0.0813,0.0772,,0.0405,,0,0
35290046006,0.0263,0.0359,,0.0706,0.0093,0.1234,0.1413,,0.0619,,0,0
35290047001,0.0248,0.0332,,0.0496,0.0118,0.3282,0.287,,0.0227,,0,0
35290047002,,,,,,,,,,,0,1
35290047003,0.0255,0.0264,,0.0341,0.01,0.0771,0.1249,,0.0214,,0,0
35290047004,0.0251,,,0.045,0.0118,0.3406,0.2893,,0.0211,,0,0
35290047005,0.0275,0.0546,,0.0356,0.023,0.0779,0.1679,,0.076,,0,0
