DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24663239001,0.0368,0.0097,0.1546,0.0039,0.0961,0.0588,0.0554,,0.1062,0.0117,0,0
24663239002,0.037,0.0103,0.1613,0.004,0.1363,0.0606,0.0632,,0.0911,0.0118,0,0
24663239003,0.0442,0.0508,0.2601,0.0059,0.1088,0.1367,0.0732,,0.1001,0.0206,0,0
24663239004,0.0404,0.0309,0.2017,0.0057,0.0905,0.0711,0.0919,,0.1513,0.0184,0,0
24663241001,0.092,0.0692,0.2256,0.0239,0.1472,0.2427,0.094,0.061,0.1019,0.0415,1,0
24663241002,0.0916,0.0648,0.2165,0.0183,0.1277,0.1968,0.0609,0.0498,0.1491,0.034,1,0
24663241003,0.0918,0.0578,0.1491,0.0204,0.1191,0.1475,0.0648,0.0981,0.065,0.0289,2,0
24663242002,0.3307,0.5466,0.3954,0.0965,0.8381,0.1033,0.1722,0.0507,0.2007,0.1709,1,0
24663242003,0.3755,0.515,0.4309,0.1475,0.7586,0.1312,0.1984,0.0489,0.1545,0.1394,1,0
24663243002,0.3537,0.4183,0.4225,0.1051,0.6837,0.1373,0.2258,0.0489,0.1366,0.1538,1,0
24663243003,0.3954,0.5104,0.3921,0.1659,0.727,0.1276,0.1953,0.0441,0.1276,0.1415,1,0
24663244001,0.2069,0.0313,0.2374,0.1251,0.0932,0.3277,0.1542,0.0456,0.13,0.0482,1,0
24663245001,0.2059,0.0694,0.3188,0.1353,0.0923,0.3708,0.2469,,0.0812,0.0444,0,0
24663245002,0.1954,0.0363,0.2648,0.1077,0.0535,0.3019,0.2015,,0.0694,0.0264,0,0
24663246002,0.3395,0.2682,0.2584,0.1184,0.3327,0.0976,0.2047,,0.06,0.076,0,0
24663246003,0.3104,0.2133,0.2221,0.1165,0.2238,0.1582,0.2302,,0.0467,0.0762,0,0
24663249001,0.3795,0.2113,0.297,0.1569,0.562,0.0755,0.1098,0.0654,0.1948,0.0967,1,0
24663250001,0.1914,0.0345,0.3802,0.0226,0.3324,0.4189,0.0313,0.3705,0.1851,0.0357,1,0
24663250002,0.1887,0.0376,0.4299,0.0216,0.3308,0.3652,0.0268,0.2966,0.1794,0.0376,1,0
24663251004,0.1475,0.0111,0.1056,0.0206,0.0382,0.0355,0.0385,,0.0971,0.0173,0,0
24663251005,0.1279,0.0224,0.0735,0.0189,0.043,0.0568,0.0175,,0.0574,0.0255,0,0
24663252001,0.129,0.0315,0.0917,0.023,0.1318,0.0589,0.0199,,0.098,0.0244,0,0
24663252008,0.1265,0.0589,0.172,0.0364,0.1181,0.1211,0.0507,,0.0863,0.0399,0,0
24663252009,0.1314,0.0497,0.0935,0.0324,0.1466,0.037,0.0219,,0.1121,0.0253,0,0
24663252010,0.0536,,0.167,0.0007,0.02,0.0397,,,0.012,0.0049,0,0
24663252011,0.1238,0.0395,0.0784,0.0301,0.1158,0.0604,0.0239,,0.1181,0.0194,0,0
24663253001,0.111,0.0579,0.2153,0.0396,0.1739,0.25,0.026,0.0998,0.0609,0.0579,2,0
24663253002,0.1179,0.0248,0.2343,0.0386,0.1595,0.2688,0.0194,0.4256,0.025,0.052,1,0
24663253004,0.1128,0.066,0.2218,0.0384,0.1751,0.2012,0.0239,0.1167,0.0534,0.0588,2,0
24663253005,0.1201,0.0372,0.2533,0.0403,0.1723,0.2858,0.0219,0.256,0.037,0.0617,1,0
24663253006,0.1147,0.0352,0.2524,0.0411,0.1815,0.2976,0.0393,0.2346,0.039,0.0671,1,0
24663254001,0.0796,0.0409,0.074,0.0129,0.0347,0.0926,,,0.0668,0.0407,0,0
24663254004,0.0822,0.046,0.0898,0.0139,0.0387,0.0903,,,0.0593,0.0533,0,0
24663254007,0.0792,0.0379,0.0706,0.0167,0.0475,0.1684,,,0.0819,0.0389,0,0
24663254008,0.0792,0.0391,0.072,0.0158,0.0476,0.1482,,,0.0859,0.0398,0,0
24663254009,0.0702,,0.0322,0.0158,0.0199,0.0755,,,0.0723,0.0153,0,0
24663254010,0.0784,0.0396,0.0622,0.0111,0.0409,0.0451,,,0.0951,0.0363,0,0
24663254011,0.0768,0.0364,0.0595,0.0095,0.0392,0.0415,,,0.0793,0.0302,0,0
24663255003,0.0739,,0.0618,0.0146,0.0766,0.0627,,0.0392,0.0312,0.0194,0,0
24663255004,0.0628,,0.0624,0.013,0.0313,0.0587,,0.0886,0.1283,0.0263,0,0
24663255005,0.0679,,0.0606,0.0122,0.0339,0.0681,,0.0631,0.0336,0.025,0,0
24663260001,0.0361,0.0133,0.0422,0.0051,0.0222,0.026,0.0187,0.048,0.0431,0.0123,1,0
24663260002,0.033,0.0155,0.0286,0.0052,0.0168,,,0.0437,0.0226,0.0048,0,0
24663260003,0.0304,0.036,0.0469,0.006,0.0555,0.026,,0.0603,0.0622,0.0141,1,0
24663260006,0.0304,0.036,0.0471,0.006,0.0559,0.026,,0.0603,0.0627,0.0142,1,0
24663260008,0.0467,0.045,0.0918,0.0047,0.1417,0.0868,0.0409,0.1056,0.1286,0.038,1,0
24663260009,0.0299,0.0357,0.0455,0.0048,0.0533,0.0254,,0.0584,0.0502,0.0122,1,0
24663260010,0.0422,0.0328,0.0852,0.0055,0.1328,0.09,0.043,0.0785,0.1259,0.0374,1,0
24663260011,0.0391,0.0194,0.0519,0.005,0.0598,0.0542,0.0208,0.061,0.073,0.0222,1,0
