DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35190100001,0.0024,,,,,,,,,,0,0
35190100002,0.0119,,0.0145,0.0011,,,,,,,0,0
35190100007,0.0136,,,0.0001,,,,,,,0,0
35190100008,0.0053,,,,,,,0.033,,,0,0
35190100009,0.0115,,0.0102,0.0001,,,,,,0.0002,0,0
35190100010,0.0119,,0.0145,0.0011,,,,,,,0,0
35190100011,0.0141,,,0.0001,,,,,,,0,0
35190100012,0.0183,,,0.0007,,,,,,,0,0
35190122001,0.0077,,,,,,,,,,0,0
35190122002,0.0132,,,0.0001,,,,,,,0,0
35190122003,0.0096,,,0.0001,,,,,,,0,0
35190122004,0.017,,,0.0012,,,,,,,0,0
35190122005,0.0113,,,0.0004,,,,,,,0,0
35190122006,0.0091,,,0.0001,,,,,,,0,0
35190122007,0.0078,,,0.0001,0.0097,,,,,,0,0
35190122008,0.0083,,,0.0001,,,,,,,0,0
35190157002,0.0068,,,0.0,,,,,,,0,0
35190157005,0.0064,,,,,,,,,,0,0
35190157007,0.0023,,,,,,,,,,0,0
35190157008,0.0069,,,0.0003,,,,,,,0,0
35190157009,0.0115,,,0.001,,,,,,0.0001,0,0
35190157010,0.0062,,,0.0014,,,,,,,0,0
35190157011,0.0064,,,0.0014,,,,,,,0,0
35190157012,0.0084,,,0.0009,,,,,,0.0036,0,0
35190157013,0.0078,,,0.0008,,,,,,0.0052,0,0
35190157014,0.0067,,,0.0008,,,,,,,0,0
35190167001,0.0014,,,,,,,,,,0,0
35190167004,0.0016,,,0.0005,,,,,,,0,0
35190167005,0.0016,,,0.0003,,,,,,,0,0
35190168001,0.001,,,,,,,,,,0,0
35190168004,0.0038,,,,,,,,,0.0001,0,0
35190168005,0.0022,,,,,,,,,,0,0
35190168006,0.0009,,,,,,,,,,0,0
35190168008,0.0038,0.0052,,,,,,,,,0,0
35190168012,0.0026,,,,,,,,,,0,0
35190168013,0.0014,,,,,,,,,,0,0
35190168014,0.0049,,,,,,,,,,0,0
35190168015,0.0018,,0.0097,,,0.034,0.0242,,,,0,0
35190168016,0.0021,,,,,,,,,,0,0
35190170001,0.0062,,,0.0,,,,,,,0,0
35190170005,0.0032,,,,,,,,,,0,0
35190170006,0.0022,,,,,,,,,,0,0
35190170007,0.0014,,,,,,,,,,0,0
35190175002,0.0052,0.0205,,0.0052,0.0395,0.0316,0.0225,0.0413,0.0261,,0,0
35190175003,0.0044,0.0087,0.0089,0.0035,0.027,,,0.0456,0.0116,,0,0
35190175004,0.0043,,0.0075,0.0033,0.0077,,,,,,0,0
35190175005,0.0051,0.0205,,0.005,0.0395,0.033,0.0235,0.0522,0.0261,,0,0
35190175006,0.0033,,,0.006,,0.0376,0.0268,,0.0102,,0,0
35190175007,0.0033,,,0.0059,,0.0376,0.0268,,0.0102,,0,0
