DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
13030064005,0.0035,,,0.0096,,0.1355,0.0433,0.0427,0.0201,,0,0
13030064008,0.0039,,0.0084,0.0102,,0.1518,0.0558,0.0472,,,0,0
13030064009,,,,,,,,,,,0,1
13030064010,0.0041,,,0.0117,0.0081,0.1898,0.0608,0.0596,0.0108,,0,0
13030064011,0.0042,0.0246,0.0081,0.0036,,0.0539,0.0197,,,,0,0
13030064013,0.0041,,0.0072,0.0106,,0.1911,0.0607,0.0548,,,0,0
13030064014,0.005,0.0075,,0.0144,0.0268,0.1789,0.0684,0.061,0.011,,0,0
13030064015,0.0051,0.0085,,0.0109,,0.0596,0.0175,0.0365,,,0,0
13030064016,0.0054,0.0087,,0.0095,,0.0295,,,,,0,0
13030065001,0.0043,0.0111,,0.0174,,0.1561,0.095,0.0389,0.0223,,0,0
13030065002,0.0038,,,0.0126,,0.1903,0.1037,0.0502,0.0115,,0,0
13030065003,0.0041,,,0.0138,0.0102,0.2449,0.1345,0.0753,0.0363,,0,0
13030065004,0.0039,,0.0068,0.0106,0.0114,0.2612,0.1388,0.0845,0.0381,,0,0
13030065005,0.004,,0.0084,0.0102,0.0109,0.2926,0.1627,0.0808,0.0145,,0,0
13030066001,0.005,0.0495,,0.0196,0.016,0.0415,0.051,,0.0484,,0,0
13030066002,0.0062,0.0223,,0.0543,,0.2069,0.1524,,0.0734,,0,0
13030066003,0.0066,0.0387,,0.0206,0.0207,0.0762,0.0607,,0.0304,,0,0
13030066004,0.0064,0.068,,0.0181,,0.1286,0.0997,0.0401,0.0343,,0,0
13030066005,0.0052,0.0352,,0.0185,,0.1963,0.1144,0.0444,0.0388,,0,0
13030066006,0.0049,0.0255,,0.0159,,0.0985,0.0775,0.0386,0.0224,,0,0
13030066007,0.0038,0.0109,,0.0093,,0.0527,0.0184,,0.0122,,0,0
13030066008,0.0039,0.0112,,0.0092,,0.0528,0.0187,,0.0118,,0,0
13030067001,0.0038,,0.0089,0.008,,,,,0.0146,,0,0
13030068001,0.0035,,,0.0111,,0.03,0.0214,,0.0501,,0,0
13030068004,0.0022,,,0.0005,,,,,,,0,0
13030068005,0.0023,,,0.0046,,,,,,,0,0
13030068006,0.0024,,,0.0043,,,,,,,0,0
13030068007,0.0024,,,0.0043,,,,,0.0111,,0,0
13030068008,0.0023,,,0.0048,,,,,0.0227,,0,0
13030068009,0.0023,,,0.0042,,,,,0.0132,,0,0
13030068010,0.0024,,,0.0049,,,,,0.0167,,0,0
13030068011,0.0022,,,0.0041,,,,,0.0257,,0,0
13030068013,0.0024,,,0.0047,,,,,0.0313,,0,0
13030068014,0.0023,,,0.0044,,,,,0.0271,,0,0
13030068015,0.0023,,,0.0044,,,,,0.0271,,0,0
13030068016,0.0023,,,0.0045,,,,,0.0233,,0,0
13030068017,0.0024,,,0.0059,,,,,0.0125,,0,0
13030068018,0.0023,,,0.0047,,,,,0.0185,,0,0
13030068019,0.0023,,,0.0047,,,,,0.0233,,0,0
13030068020,0.0022,,,0.0044,,,,,0.0141,,0,0
13030068021,0.0022,,,0.0044,,,,,0.0141,,0,0
13030068025,0.0023,,,0.0049,,,,,0.01,,0,0
13030068027,0.0024,,,0.0054,,,,,0.0114,,0,0
13030068028,0.0024,,,0.0051,,,,,0.0111,,0,0
13030068031,0.0022,,,0.004,,,,,0.0147,,0,0
13030068032,0.0022,,,0.0004,,,,,0.012,,0,0
13030068033,0.0042,0.0128,,0.0184,,0.0759,0.0579,,0.0426,,0,0
13030068034,0.0045,0.0159,,0.0225,,0.0859,0.0658,,0.0479,,0,0
13030068035,0.0043,0.0138,,0.0189,,0.0788,0.0602,,0.032,,0,0
