DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
59370263009,0.0001,,,,,,,,,,0,0
59370263010,0.0001,,,,,,,,,,0,0
59370263011,0.0033,,,0.0004,,,,,,,0,0
59370263012,0.0012,,,0.0004,,,,,,,0,0
59370263013,0.0013,,,0.0002,,,,,,,0,0
59370263014,0.0,,,,,,,,,,0,0
59370263015,0.0008,,,0.0004,,,,,,,0,0
59370263016,0.0024,,,0.0004,,,,,,,0,0
59370263017,0.0003,,,,,,,,,,0,0
59370263019,0.0006,,,0.0002,,,,,,,0,0
59370263020,0.0005,,,0.0002,,,,,,,0,0
59370263021,0.0008,,,0.0009,,,,,,,0,0
59370263022,0.0014,,,0.0005,,,,,,,0,0
59370263024,0.0006,,,0.0003,,,,,,,0,0
59370263025,0.0008,,,0.0002,,,,,,,0,0
59370263026,0.0015,,,0.0003,,,,,,,0,0
59370263027,0.0013,,,0.0002,,,,,,,0,0
59370272001,0.0156,0.0166,0.007,0.0117,,0.0726,0.0697,0.0373,0.12,0.0056,0,0
59370272002,0.0177,0.0201,,0.0169,0.0193,0.0926,0.088,,0.0533,0.0051,0,0
59370272003,0.0168,,0.0187,0.0181,,0.0406,0.0289,,0.0413,0.0049,0,0
59370272004,0.0165,0.0162,0.0167,0.0182,,0.048,0.0342,0.037,0.0541,0.005,0,0
59370272005,0.0168,,0.0163,0.0175,,0.0578,0.0411,,0.0558,0.0062,0,0
59370273001,0.0177,0.0207,,0.0168,0.0199,0.1001,0.0937,,0.0498,0.005,0,0
59370273002,0.0205,0.1125,0.0182,0.0192,0.0664,0.1506,0.1313,0.048,0.066,0.0089,1,0
59370276001,0.0249,0.1558,0.0323,0.0341,0.0462,0.0647,0.046,0.0512,0.0341,0.0058,1,0
59370276002,0.0212,0.0619,0.0334,0.023,0.0385,0.0273,0.0194,0.0413,0.0733,0.0163,1,0
59370276003,0.0215,0.1844,0.0361,0.0283,0.0543,0.0744,0.0529,0.0565,0.055,0.0088,1,0
59370276004,0.0217,0.1779,0.0742,0.0205,0.0759,0.0806,0.0573,0.0548,0.0913,0.014,1,0
59370277002,0.0299,0.2092,0.0341,0.0463,0.0827,0.1274,0.1187,0.0886,0.0941,0.0138,1,0
59370277004,0.0241,0.1318,0.0468,0.0335,0.049,0.1425,0.1419,0.067,0.0678,0.0114,1,0
59370277005,0.0249,0.1498,0.051,0.0342,0.0468,0.1794,0.1814,0.0624,0.0719,0.0113,1,0
59370277006,0.0326,0.203,0.0337,0.0549,0.0339,0.1216,0.1121,0.0901,0.069,0.0105,1,0
59370277007,0.025,0.1431,0.0499,0.0356,0.0508,0.146,0.1438,0.0742,0.0705,0.011,1,0
59370277008,0.0257,0.1366,0.0577,0.0345,0.0543,0.1857,0.1783,0.0687,0.0728,0.0099,1,0
59370277009,0.0242,0.1184,0.0508,0.0321,0.0494,0.1463,0.144,0.0687,0.0674,0.0091,1,0
59370277010,0.0327,0.2324,0.0386,0.0561,0.0623,0.1355,0.1208,0.1056,0.0886,0.0126,1,0
59370277011,0.0251,0.1791,0.0312,0.0347,0.0528,0.1509,0.1383,0.0763,0.0849,0.018,1,0
59370277012,0.0276,0.1553,0.0316,0.043,0.0552,0.1511,0.1417,0.0742,0.0891,0.0132,1,0
59370277013,0.0261,0.191,0.0479,0.0376,0.0578,0.1592,0.1466,0.0901,0.0822,0.0106,1,0
59370277015,0.0262,0.1898,0.0241,0.0351,0.054,0.0992,0.0969,0.0723,0.0797,0.0182,1,0
59370277016,0.0346,0.193,0.0363,0.0568,0.0563,0.123,0.1102,0.0886,0.0815,0.0123,1,0
59370279001,0.0265,0.2581,0.0519,0.0364,0.0756,0.1035,0.0736,0.0774,0.0922,0.0117,1,0
59370279002,0.0306,0.2243,0.0494,0.0428,0.0725,0.1178,0.1029,0.082,0.0872,0.0127,1,0
59370279003,0.0354,0.2527,0.0511,0.047,0.0791,0.1244,0.1087,0.1167,0.0924,0.0146,1,0
59370279004,0.0327,0.2971,0.0653,0.0445,0.1005,0.1076,0.0945,0.0981,0.0793,0.0139,1,0
59370279005,0.0377,0.3053,0.0538,0.0482,0.0937,0.1153,0.1008,0.1403,0.0775,0.0172,1,0
59370279006,0.0372,0.3141,0.0723,0.0503,0.1265,0.1017,0.0723,0.0998,0.0859,0.0155,1,0
59370279007,0.0382,0.4242,0.0819,0.0597,0.1656,0.1155,0.0822,0.1192,0.0967,0.0164,1,0
59370279008,0.0307,0.3412,0.1014,0.0443,0.2171,0.0983,0.0699,0.0753,0.0965,0.0171,1,0
