DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35260711037,0.0037,,,0.0003,,,,,,,0,0
35260711038,0.0027,,,0.0002,,,,,,,0,0
35260711039,0.0027,,,0.0002,,,,,,,0,0
35260711040,0.0027,,,0.0002,,,,,,,0,0
35260711041,0.0026,,,0.0002,,,,,,,0,0
35260712001,0.0093,,0.0071,0.0266,,0.0802,0.0571,,0.0125,0.0004,0,0
35260712002,0.0094,,0.0071,0.0277,,0.0978,0.0696,,0.0173,0.0005,0,0
35260712008,0.0092,,0.0069,0.0297,0.0123,0.0582,0.0414,,,0.0008,0,0
35260712009,0.0098,,0.0085,0.0296,0.0199,0.0671,0.0477,,,0.0012,0,0
35260712010,0.0125,,,0.0944,,0.0305,0.0217,,,0.0002,0,0
35260712011,0.0098,,,0.0342,,0.0411,0.0292,,0.0111,0.0003,0,0
35260712012,0.0082,,,0.0226,,0.0609,0.0433,,,0.0003,0,0
35260712013,0.0113,,,0.0245,0.0087,0.0763,0.0542,0.0368,0.011,0.0002,0,0
35260712014,0.0101,,,0.0372,,0.043,0.0306,,0.0116,0.0004,0,0
35260713001,0.0091,,0.0205,0.0235,0.0513,0.1346,0.0957,0.059,0.0236,0.0027,0,0
35260713002,0.0098,,0.0142,0.0277,0.0677,0.0941,0.0669,0.0476,0.0102,0.0015,0,0
35260713003,0.0091,,0.014,0.0255,0.0421,0.1178,0.0838,0.0472,0.0208,0.0016,0,0
35260713004,0.0089,,0.0163,0.0235,0.0464,0.1382,0.0983,0.0603,0.0242,0.0021,0,0
35260713005,0.0091,,0.0118,0.028,0.037,0.1069,0.076,0.0476,0.0224,0.0014,0,0
35260713006,0.0097,,0.0103,0.0342,0.0388,0.0915,0.0651,0.0434,0.0106,0.0014,0,0
35260713007,0.01,,0.01,0.0352,0.0291,0.0833,0.0593,0.0423,,0.0012,0,0
35260713008,0.01,,0.0115,0.0315,0.0455,0.0901,0.0641,0.0417,,0.0016,0,0
35260713009,0.0102,,0.0134,0.0284,0.0871,0.077,0.0547,0.046,,0.0014,0,0
35260713010,0.0085,,,0.0271,,0.1976,0.1405,,0.0463,0.0002,0,0
35260713011,0.0097,,0.0096,0.0301,0.0307,0.1051,0.0747,0.0413,0.0154,0.001,0,0
35260714001,0.0089,,0.0118,0.0204,0.0616,0.1774,0.1261,0.0808,0.0338,0.0013,0,0
35260714002,0.0085,,0.0103,0.0192,0.0589,0.1323,0.0941,0.0796,0.0332,0.0011,0,0
35260714003,0.0086,,0.0095,0.0184,0.0503,0.1156,0.0822,0.0713,0.0293,0.0011,0,0
35260714004,0.0088,,0.0081,0.0217,0.0436,0.098,0.0697,0.0584,0.0235,0.001,0,0
35260714005,0.0092,,0.0105,0.026,0.0377,0.1005,0.0715,0.0537,0.0118,0.0012,0,0
35260714006,0.0092,,0.0103,0.026,0.0377,0.1005,0.0715,0.0537,0.0118,0.0012,0,0
35260714007,0.0092,,0.0103,0.026,0.0377,0.1005,0.0715,0.0537,0.0118,0.0012,0,0
35260714008,0.0095,,0.0151,0.0228,0.0584,0.2263,0.1609,0.0742,0.0308,0.0016,0,0
35260714009,0.0092,,0.0095,0.0245,0.0389,0.0988,0.0703,0.0498,0.0224,0.0011,0,0
35260714010,0.0094,,0.0085,0.0234,0.0262,0.0981,0.0698,0.0456,0.0133,0.0009,0,0
35260715001,0.008,,0.0111,0.0159,0.0639,0.0536,0.0381,0.1813,0.0493,0.0008,0,0
35260715002,0.0091,,0.0115,0.0182,0.1482,0.0805,0.0572,0.1403,0.0496,0.0014,0,0
35260715003,0.0088,,0.0116,0.0204,0.0485,0.2496,0.1775,0.0678,0.0279,0.001,0,0
35260715004,0.0092,,0.0209,0.0233,0.05,0.0928,0.066,0.0596,0.0209,0.0024,0,0
35260715005,0.009,,0.0272,0.0216,0.0425,0.0797,0.0567,0.059,0.0106,0.0013,0,0
35260715006,0.008,,0.055,0.0171,0.0213,0.0397,0.0283,0.0484,,0.0006,0,0
35260716004,0.0071,,0.0092,0.0121,0.0404,0.0451,0.0321,0.1831,0.054,0.0006,0,0
35260716005,0.0086,,0.0294,0.0164,0.0205,0.0355,0.0253,0.056,0.0101,0.0028,0,0
35260716006,0.011,,0.0126,0.0227,0.0076,,,,,0.0006,0,0
35260716007,0.0112,,0.0114,0.0207,0.0088,,,,,0.0007,0,0
35260716008,0.013,,0.0105,0.0192,0.0082,,,,,0.0009,0,0
35260716013,0.0072,,0.0078,0.0123,,0.028,0.0199,0.0507,0.0147,0.0003,0,0
35260716014,0.0068,0.0112,0.0091,0.0018,0.0162,,,,,0.0002,0,0
35260716015,0.0075,0.0082,0.0073,0.0122,0.0121,0.0266,0.0189,0.0476,0.0133,0.0002,1,0
