DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24530082021,0.0086,,0.0394,0.0014,0.0229,,,,0.0127,,0,0
24530082023,0.0092,,0.0416,0.0021,0.0265,,,,0.0123,,0,0
24530082024,0.0094,0.0236,0.0142,0.002,0.0454,,,,,0.0003,0,0
24530082025,0.0077,0.0077,0.01,0.0018,0.0155,,,,,,0,0
24530082026,0.0094,0.0236,0.0097,0.0023,0.0454,,,,,,0,0
24530082027,0.0092,0.0112,0.0185,0.0024,0.0222,,,,,0.0004,0,0
24530082028,0.0089,0.0162,0.0176,0.0019,0.0315,,,,,0.0003,0,0
24530082029,0.0079,0.0076,0.02,0.0021,0.0154,,,,0.0108,0.0003,0,0
24530082030,0.0087,,0.0351,0.0014,0.0225,,,,0.011,,0,0
24530082031,0.0081,,0.0341,0.0012,0.0288,,,,,,0,0
24530082032,0.0091,,0.037,0.0019,0.0288,,,,,,0,0
24530083001,0.0106,0.0088,0.0377,0.0031,,,0.02,,0.0469,0.001,0,0
24530083002,0.0102,,0.0461,0.0028,,,0.0175,,0.0416,0.0004,0,0
24530083003,0.0096,,0.0396,0.0025,,,,,0.033,0.0001,0,0
24530083004,0.0082,,0.1016,0.0011,,,,,0.0128,,0,0
24530083005,0.0084,,0.1107,0.0017,0.0155,,,,0.0137,,0,0
24530083006,0.0085,,0.04,0.0017,,,,,0.0108,,0,0
24530083007,0.0097,,0.037,0.0024,,,,,0.028,0.0001,0,0
24530084003,0.0104,0.021,0.021,0.0047,0.0058,0.0275,0.0179,,0.0385,0.0011,0,0
24530084004,0.0098,0.0096,0.0274,0.004,0.0047,0.0248,,,0.0367,0.001,0,0
24530084005,0.0096,0.0092,0.0177,0.0038,0.0045,,,,0.0357,0.0007,0,0
24530084007,0.0091,,0.0259,0.0031,,,,,0.0242,0.001,0,0
24530084008,0.0097,0.008,0.0202,0.0036,0.004,,,,0.0275,0.0014,0,0
24530084009,0.0099,0.0094,0.0283,0.0039,0.0046,0.0246,,,0.0297,0.0011,0,0
24530084010,0.0078,,0.0087,0.0015,,,,,0.014,0.0001,0,0
24530084011,0.0091,0.008,0.0223,0.0025,,,0.0179,,0.0397,0.001,0,0
24530084012,0.0099,0.0081,0.0241,0.0029,,,0.019,,0.0444,0.0009,0,0
24530084013,0.01,0.0079,0.0379,0.0029,,,0.0186,,0.0509,0.0004,0,0
24530084014,0.0078,0.0287,0.0502,0.0017,0.0053,0.0339,0.0306,,0.1365,0.0025,0,0
24530084015,0.0098,0.0184,0.0191,0.0041,0.005,0.0256,,,0.041,0.0006,0,0
24530084016,0.0092,0.0081,0.0083,0.0035,0.004,,,,0.0387,0.0005,0,0
24530085004,0.005,,0.0119,0.0002,,,,,,,0,0
24530085005,0.0053,,0.0715,0.0004,,,,,,,0,0
24530085006,0.0056,,0.0227,0.0004,,,,,,,0,0
24530085007,0.0051,,0.1228,0.0006,,,,,,,0,0
24530085008,0.005,,0.0163,0.0001,,,,,,,0,0
24530085010,0.0026,,,0.0001,,,,,0.0103,,0,0
24530085011,0.004,,,0.0001,,,,,,,0,0
24530085012,0.0052,,0.0279,0.0002,,,,,,,0,0
24530086001,0.0026,,,0.0001,,,,,,,0,0
24530086002,0.0023,,,0.0,,,,,,,0,0
24530086003,0.0048,,,0.0001,,,,,,,0,0
24530086004,0.0053,,,0.0002,,,,,,,0,0
24530086005,0.0053,,,0.0001,,,,,,,0,0
24530091001,0.0084,0.0247,0.0505,0.0075,0.0184,0.0638,,,0.0306,,0,0
24530091002,0.0079,0.0149,0.0414,0.0056,0.0145,0.0561,,,0.0276,,0,0
24530091006,0.0078,,0.0075,0.0018,0.0148,,,,0.0628,,0,0
24530091007,0.0022,,,,,,,,,,0,0
24530091008,0.0008,,,,,,,,,,0,0
