DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
48090059004,0.0081,0.0176,0.0121,0.0037,0.044,0.0698,0.0703,0.0498,0.0283,,0,0
48090059005,0.0074,0.0092,0.0121,0.0053,0.0368,0.0767,0.0805,0.0498,0.0407,,0,0
48090059006,0.0083,0.0253,0.0187,0.0047,0.0336,0.0932,0.0883,0.067,0.0234,,0,0
48090059007,0.009,0.0304,0.0227,0.0048,0.0352,0.0998,0.0877,0.0763,0.0236,,0,0
48090059009,0.01,0.0266,0.0129,0.0031,0.063,0.0435,0.0292,0.0507,0.0114,,0,0
48090059010,0.009,0.0189,0.01,0.0024,0.0504,0.0349,0.0241,0.0434,0.0105,,0,0
48090059011,0.009,0.0394,0.0232,0.0033,0.0389,0.074,0.0317,0.0548,,,0,0
48090059012,0.0089,0.0392,0.0242,0.0034,0.0383,0.0771,0.0271,0.0476,0.01,,0,0
48090059013,0.0089,0.0509,0.0222,0.0032,0.0213,0.0712,0.026,0.046,,,0,0
48090059014,0.0075,0.0683,0.0153,0.0026,0.0164,0.0507,0.0215,0.0389,,,0,0
48090059015,0.0078,0.061,0.0163,0.0027,0.0173,0.0536,0.0223,0.0401,,,0,0
48090059016,0.008,0.0496,0.0187,0.0029,0.0182,0.0607,0.0239,0.0427,,,0,0
48090059017,0.0059,0.0223,0.0121,0.0022,,0.0411,0.0189,,,,0,0
48090059019,0.0056,0.0232,0.0099,0.0019,,0.0345,,,,,0,0
48090059020,0.0059,0.0162,0.0085,0.0018,,0.0303,,,,,0,0
48090059021,0.0062,0.0294,0.0107,0.002,,0.037,0.0176,,,,0,0
48090059023,0.0034,,,0.0013,,,,,,,0,0
48090059025,0.0027,,,0.0013,,,,,,,0,0
48090059026,0.0028,,,0.0014,,,,,,,0,0
48090059029,0.002,,,0.0005,,,,,,,0,0
48090059030,0.002,,,,0.0176,,,,,,0,0
48090059031,0.0044,,0.0066,0.0025,0.0162,0.058,0.049,,0.0187,,0,0
48090059032,0.0045,,0.0072,0.0026,0.0171,0.0518,0.0554,,0.1002,,0,0
48090059033,0.0094,0.0318,0.0155,0.0036,0.0455,0.0766,0.0714,0.0596,0.0241,,0,0
48090059034,0.0094,0.0316,0.0155,0.0036,0.0471,0.0768,0.0715,0.0596,0.0241,,0,0
48090059035,0.0031,,,0.0011,,,,,,,0,0
48090059036,0.004,,0.0067,0.0015,,0.0249,,,,,0,0
48090059037,0.0046,0.0082,0.0078,0.0027,0.0165,0.0689,0.0796,,0.0445,,0,0
48090060001,0.0137,0.055,0.0427,0.0073,0.0358,0.1629,0.1124,0.0964,0.0289,,0,0
48090060002,0.0218,0.1013,0.0444,0.0082,0.0245,0.1641,0.1068,0.0964,0.0137,,0,0
48090060003,0.0259,0.1108,0.0294,0.0079,0.0209,0.0926,0.0689,0.0785,0.0116,,0,0
48090060004,0.015,0.0671,0.037,0.0054,0.0046,0.1151,0.0418,0.0678,0.0103,,0,0
48090060005,0.0143,0.0673,0.0633,0.0061,0.0235,0.2185,0.0902,0.082,0.012,,0,0
48090060006,0.0095,0.0537,0.0709,0.0047,0.021,0.2163,0.0446,0.0713,0.0108,,0,0
48090060007,0.0112,0.0545,0.0381,0.0042,0.0207,0.1184,0.036,0.0603,,,0,0
48090060012,0.0101,0.047,0.0247,0.0037,,0.0785,0.0295,0.0624,,,0,0
48090060013,0.0078,0.0346,0.0181,0.0029,,0.059,0.0253,0.0527,,,0,0
48090060015,0.0041,,0.0078,0.0014,,0.0284,,,,,0,0
48090060016,0.0043,,,0.0013,,,,,,,0,0
48090060018,0.0088,0.0456,0.0272,0.0032,0.0244,0.0861,0.0286,0.0498,,,0,0
48090060019,0.0092,0.0489,0.0481,0.0035,0.026,0.1482,0.0355,0.0596,,,0,0
48090060020,0.0091,0.05,0.0319,0.0033,0.0186,0.1001,0.0306,0.0527,,,0,0
48090060021,0.0079,0.0444,0.019,0.0029,0.0171,0.0617,0.0243,0.0434,,,0,0
48090060022,0.0089,0.0466,0.0232,0.0033,0.0159,0.074,0.0265,0.0468,,,0,0
48090060023,0.0053,0.0172,0.0124,0.002,,0.042,0.0212,0.0398,,,0,0
48090060024,0.0092,0.0526,0.0992,0.0048,0.0235,0.3255,0.0902,0.082,0.012,,0,0
48090060025,0.0093,0.0379,0.0205,0.0039,0.0435,0.0911,0.0752,0.0646,0.0216,,0,0
48090060026,0.0037,,,0.0014,,,,,,,0,0
48090060027,0.0035,,,0.0012,,,,,,,0,0
