DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
47060704023,0.0199,,0.0434,0.0082,,0.0462,,,0.0779,0.0056,0,0
47060704024,0.019,,0.041,0.0074,,0.0389,,,0.0739,0.0039,0,0
47060704025,0.0177,,0.0398,0.0067,,0.0587,,,0.0589,0.0039,0,0
47060704026,0.0171,,0.0349,0.0062,,0.05,,,0.0506,0.0032,0,0
47060704027,0.0033,,,,,,,,,,0,0
47060704028,0.0006,,,,,,,,0.0133,,0,0
47060704029,0.0202,,0.0399,0.0071,,0.0415,,,0.0634,0.0051,0,0
47060704030,0.0221,,0.041,0.0079,,0.0246,,,0.0493,0.0054,0,0
47060704031,0.0192,,0.0685,0.0081,,0.0586,,,0.1268,0.0051,0,0
47060704032,0.0203,,0.0374,0.0064,,0.0316,,,0.0481,0.004,0,0
47060704033,0.0193,,0.0442,0.0085,,0.0339,,,0.0351,0.0043,0,0
47060704034,0.0236,,0.097,0.0102,,0.0652,,,0.1196,0.0074,0,0
47060704035,0.0218,,0.0411,0.009,,0.0549,,,0.0772,0.0047,0,0
47060704036,0.0189,,0.0425,0.0088,,0.0389,,,0.0485,0.0038,0,0
47060704037,0.0185,,0.0436,0.008,,0.043,,,0.05,0.0033,0,0
47060704038,0.0203,,0.0317,0.0058,,0.0249,,,0.0367,0.0026,0,0
47060704039,0.0188,,0.0441,0.009,,0.0336,,,0.0689,0.0038,0,0
47060704040,0.0153,,0.0392,0.0071,,0.0316,,,0.0646,0.0032,0,0
47060704041,0.0173,,0.0378,0.0089,,0.0305,,,0.0573,0.0027,0,0
47060704042,0.0181,,0.0419,0.0068,,0.0273,,,0.0615,0.0028,0,0
47060704043,0.018,,0.041,0.0098,,0.0284,,,0.0629,0.0025,0,0
47060704044,0.0173,,0.0366,0.0067,,0.0597,,,0.053,0.0036,0,0
47060704045,0.0164,,0.0187,0.0048,,0.0609,,,0.033,0.0021,0,0
47060704046,0.0186,,0.0477,0.0083,,0.0552,,,0.0978,0.0035,0,0
47060704047,0.0191,,0.0527,0.0081,,0.0535,,,0.0711,0.0034,0,0
47060704048,0.0195,,0.058,0.0086,,0.0538,,,0.0869,0.0037,0,0
47062470001,0.0299,,,0.0001,,,,,,,0,0
47062470002,0.048,,,0.02,0.0174,0.1195,0.0181,,0.0848,0.0022,0,0
47062470003,0.0507,,,0.0243,0.0241,0.0712,,0.0404,0.0753,0.0037,0,0
47062470004,0.0493,,,0.0221,0.0202,0.0882,,0.0381,0.0773,0.0029,0,0
47062470005,0.0493,,,0.0221,0.0202,0.0882,,0.0378,0.0742,0.0024,0,0
47062470006,0.0533,,0.0069,0.028,0.0483,0.0521,0.0176,0.0565,0.1086,0.0068,0,0
47062470007,0.0562,,0.0304,0.0283,0.036,0.1161,0.0714,0.1167,0.073,0.0123,0,0
47062470008,0.0579,,0.0504,0.0393,0.0495,0.1469,0.0756,0.1517,0.0814,0.0139,0,0
47062470009,0.0632,0.0078,0.0634,0.0437,0.0736,0.1331,0.0781,0.2084,0.096,0.0175,1,0
47062470010,0.0575,0.0082,0.0348,0.04,0.0262,0.1075,0.0595,0.0654,0.1297,0.012,1,0
47062470011,0.0383,,,0.0045,,0.03,,,0.0303,0.0005,0,0
47062470012,0.0416,,,0.0053,,,0.0189,,0.0417,0.001,0,0
47062470013,0.0421,,,0.0062,,0.0271,0.0212,,0.0461,0.0017,0,0
47062470014,0.0379,,,0.0045,,,,,,0.0005,0,0
47062470015,0.0413,,,0.0061,,0.0264,0.0207,,0.0249,0.0015,0,0
47062470016,0.0438,,,0.0141,,0.1089,0.0193,,0.0786,0.0005,0,0
47062470017,0.0507,,,0.0221,0.0315,0.0385,0.0219,0.0522,0.1275,0.0047,0,0
47062470018,0.0332,,,0.0011,,,,,,,0,0
47062470019,0.0383,,,0.0011,,0.0457,,,0.0617,,0,0
47062470020,0.0338,,,0.001,,,,,0.049,,0,0
47062470021,,,,,,,,,,,0,1
47062470022,0.0289,0.0133,0.0163,0.0061,0.0193,0.0402,,,0.0916,0.0159,0,0
47062470023,0.0284,0.0126,0.018,0.0082,0.0107,0.0597,,,0.0485,0.0161,0,0
