DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24890126001,0.0001,,,,,,,,,,0,0
24890126002,0.0001,,,,,,,,,,0,0
24890126009,0.0017,0.0205,0.0114,0.0019,0.0159,,,0.1056,0.03,,0,0
24890126011,0.0029,0.0122,0.0217,0.0036,0.035,,,0.1017,0.0626,,0,0
24890126017,0.0037,0.0138,0.0338,0.0044,0.0525,,,0.0763,0.0295,,0,0
24890126018,0.0026,0.0103,0.0279,0.0039,0.0439,,,0.0603,0.0189,,0,0
24890126019,0.0026,0.0103,0.0272,0.0039,0.0431,,,0.0596,0.0185,,0,0
24890126020,0.0027,0.0131,0.0213,0.0034,0.0336,,,0.1116,0.0911,,0,0
24890126021,0.0005,,,,,,,,,,0,0
24890126022,0.0006,,,,,,,,,,0,0
24890127001,0.0019,0.0186,0.0232,0.002,0.0302,,,0.0981,0.0338,,0,0
24890127002,0.0019,0.0232,0.0174,0.0021,0.0232,,,0.1134,0.0389,,0,0
24890127003,0.0019,0.0255,0.016,0.0021,0.0216,,,0.1218,0.0381,,0,0
24890127004,0.002,0.0362,0.0142,0.0022,0.0193,,,0.1517,0.0347,,0,0
24890127005,0.0016,0.0166,0.0127,0.0018,0.0175,,,0.0901,0.03,,0,0
24890127006,0.0016,0.0152,0.0134,0.0018,0.0184,,,0.0845,0.03,,0,0
24890127007,0.0016,0.0124,0.0149,0.0017,0.0201,,,0.0723,0.03,,0,0
24890127008,0.0016,0.0149,0.018,0.0017,0.024,,,0.0833,0.03,,0,0
24890127009,0.0023,0.0255,0.0242,0.0027,0.0356,,,0.1218,0.0312,,0,0
24890127010,0.0023,0.0225,0.0266,0.0026,0.0386,,,0.112,0.0309,,0,0
24890128015,0.002,0.0191,0.0149,0.0026,0.0201,,,0.2349,0.0374,,0,0
24890128016,0.0019,0.0212,0.0144,0.0025,0.0196,,,0.2349,0.0337,,0,0
24890129001,0.003,0.0247,0.0481,0.003,0.066,,,0.1056,0.031,,0,0
24890129002,0.0029,0.0273,0.0412,0.0035,0.0574,,,0.1143,0.0325,,0,0
24890129003,0.0036,0.0149,0.0647,0.004,0.0883,,,0.0774,0.0288,,0,0
24890129004,0.0034,0.0182,0.0444,0.0043,0.0636,,,0.0886,0.0324,,0,0
24890129005,0.003,0.0362,0.031,0.004,0.045,,,0.1335,0.0343,,0,0
24890129006,0.003,0.0247,0.0232,0.0036,0.0347,,,0.1604,0.0388,,0,0
24890129007,0.002,0.0191,0.0149,0.0026,0.0201,,,0.2349,0.0426,,0,0
24890129008,0.0026,0.0191,0.0223,0.0032,0.0336,,,0.172,0.0401,,0,0
24890129009,0.0023,0.0116,0.0187,0.0031,0.0299,,,0.1192,0.1002,,0,0
24890129010,0.0024,0.0255,0.0171,0.0029,0.0229,,,0.2349,0.0337,,0,0
24890129011,0.0027,0.0294,0.0187,0.0031,0.0286,,,0.2349,0.0324,,0,0
24890129012,0.0026,0.0805,0.0201,0.003,0.0305,,,0.1517,0.0303,,0,0
24890130001,0.002,,0.0122,0.007,0.0254,,,0.0441,0.0362,,0,0
24890130002,0.0023,,0.0124,0.009,0.0274,,,0.041,0.0407,,0,0
24890130003,0.0027,,0.014,0.012,0.0326,,,0.042,0.0283,,0,0
24890130004,0.0025,0.008,0.0187,0.0069,0.0378,,,0.0489,0.0269,,0,0
24890130005,0.0022,0.0078,0.016,0.0058,0.0318,,,0.0476,0.0269,,0,0
24890130006,0.002,0.0085,0.0158,0.0049,0.0295,,,0.0512,0.028,,0,0
24890130007,0.002,0.0096,0.0183,0.0043,0.0313,,,0.056,0.0475,,0,0
24890130008,0.0021,0.0109,0.0217,0.0039,0.0345,,,0.0617,0.0363,,0,0
24890130009,0.0034,0.0135,0.0831,0.0035,0.1093,,,0.0723,0.0274,,0,0
24890130010,0.0036,0.0135,0.0831,0.0038,0.1103,,,0.0723,0.0272,,0,0
24890130011,0.0033,0.0177,0.0761,0.0033,0.1001,,,0.0872,0.0286,,0,0
24890131004,0.002,0.0109,0.0213,0.0036,0.0332,,,0.061,0.024,,0,0
24890131006,0.0019,0.0078,0.0138,0.0057,0.0259,,,0.0472,0.0369,,0,0
24890131008,0.0028,,0.0121,0.0161,0.0262,,,0.0386,0.0323,,0,0
24890131009,0.0018,,0.0091,0.0087,0.0068,,,,0.0128,,0,0
