DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35180263006,0.043,0.0504,0.0633,0.0214,0.008,0.0764,0.079,0.0785,0.0317,0.0074,1,0
35180264001,0.0411,0.0193,0.0548,0.018,0.0169,0.0992,0.1077,0.0662,0.0427,0.0058,1,0
35180264002,0.0411,0.0376,0.0579,0.019,0.0377,0.11,0.141,0.0704,0.0656,0.0075,1,0
35180265001,0.051,0.1183,0.1335,0.0435,0.0633,0.1258,0.1184,0.5647,0.045,0.021,1,0
35180265002,0.0474,0.0842,0.0912,0.0295,0.0464,0.132,0.1391,0.156,0.0554,0.0156,1,0
35180265003,0.0479,0.1014,0.0935,0.0391,0.0604,0.1086,0.1252,0.156,0.0697,0.0154,1,0
35180265004,0.0499,0.135,0.0966,0.0322,0.0776,0.0985,0.1106,0.1218,0.0831,0.0154,1,0
35180265005,0.0477,0.1087,0.0655,0.0358,0.063,0.0679,0.1,0.0872,0.0703,0.0128,1,0
35180265006,0.0452,0.0905,0.0774,0.0355,0.0579,0.1052,0.1347,0.1167,0.0817,0.0117,1,0
35180265007,0.0368,0.0205,0.0512,0.0166,0.0336,0.0824,0.1975,0.061,0.0758,0.0063,1,0
35180265008,0.0353,0.0183,0.0411,0.0134,0.0195,0.0917,0.2042,0.0554,0.0785,0.0056,1,0
35180265009,0.0371,0.0209,0.0535,0.0152,0.034,0.1049,0.157,0.0617,0.0608,0.0067,1,0
35180265010,0.0436,0.0766,0.0605,0.0405,0.0573,0.0645,0.1032,0.0678,0.0739,0.0114,1,0
35180265011,0.0412,0.057,0.0542,0.039,0.0476,0.0595,0.0878,0.0596,0.0735,0.0116,1,0
35180266001,0.0396,0.0208,0.0465,0.0164,0.0258,0.1452,0.1371,0.0537,0.0915,0.0074,1,0
35180266002,0.0353,0.0104,0.0335,0.013,0.0266,0.2542,0.2133,0.0384,0.1217,0.0067,1,0
35180272001,0.0316,,0.0142,0.011,0.0096,0.1167,0.1224,,0.0511,0.0061,0,0
35180272002,0.0328,0.0085,0.0213,0.0108,0.0226,0.166,0.1532,,0.0915,0.0067,0,0
35180273001,0.0453,0.0941,0.05,0.03,0.079,0.0546,0.0685,0.0517,0.1376,0.0176,1,0
35180273002,0.0427,0.0772,0.0512,0.0399,0.0562,0.0801,0.0957,0.0646,0.1038,0.0143,1,0
35180273003,0.042,0.0701,0.0445,0.0372,0.0543,0.057,0.0695,0.0507,0.1564,0.0152,1,0
35180273004,0.0412,0.0589,0.0452,0.0384,0.0468,0.057,0.0735,0.0565,0.1062,0.0152,1,0
35180273005,0.0427,0.0762,0.0511,0.0399,0.0562,0.0801,0.0957,0.0646,0.1035,0.0142,1,0
35180273006,0.0395,0.043,0.0493,0.038,0.0372,0.0827,0.0965,0.0527,0.0694,0.0113,1,0
35180273007,0.0384,0.0334,0.0372,0.037,0.0289,0.0594,0.0744,0.0472,0.0681,0.0131,1,0
35180273008,0.0393,0.0391,0.0403,0.0368,0.0365,0.0587,0.0704,0.0502,0.084,0.0161,1,0
35180273009,0.0402,0.0601,0.0403,0.0353,0.0458,0.0599,0.0684,0.046,0.1412,0.0201,1,0
35180273010,0.0431,0.059,0.0421,0.0365,0.0539,0.057,0.0662,0.0456,0.1687,0.0202,1,0
35180273011,0.0352,0.009,0.0167,0.0342,,0.069,0.0812,0.041,0.049,0.0094,0,0
35180273012,0.0347,0.0087,0.0168,0.033,,0.0697,0.0821,,0.0485,0.0103,0,0
35180273013,0.033,,0.0168,0.0305,,0.0696,0.0809,0.0404,0.0354,0.0075,0,0
35180274003,0.0307,,0.0072,0.0284,,0.0352,0.0519,,0.0102,0.0033,0,0
35180274004,0.0311,,0.0075,0.0289,,0.062,0.0724,,0.0108,0.0036,0,0
35180274005,0.03,,0.007,0.0189,,0.0339,0.05,,,0.0027,0,0
35180275001,0.0412,0.044,0.0367,0.0352,0.0348,0.0597,0.0652,0.0407,0.0847,0.023,1,0
35180275002,0.0394,0.0501,0.036,0.0346,0.0352,0.0563,0.0628,0.041,0.0838,0.019,1,0
35180275003,0.0394,0.0418,0.0278,0.0355,0.0274,0.0532,0.0625,0.0441,0.0603,0.0165,1,0
35180275004,0.0404,0.0482,0.0243,0.0339,0.0154,0.0282,0.0402,0.0368,0.0914,0.0242,1,0
35180275005,0.0378,0.0259,0.0154,0.0341,,0.0254,0.0416,,0.0442,0.0176,0,0
35180275008,0.038,0.0259,0.0165,0.035,,0.052,0.0626,0.0395,0.0403,0.0161,0,0
35180275010,0.0381,0.0283,,0.0329,,0.0248,0.0353,,0.1178,0.0183,0,0
35180275011,0.0436,0.0805,0.0075,0.0352,,0.0308,0.0406,,0.0666,0.036,0,0
35180275013,0.0367,0.0191,0.0066,0.0334,,,0.0186,,0.0503,0.0122,0,0
35180276001,0.0362,0.012,0.0162,0.011,,0.0451,0.0321,,0.0339,0.0087,0,0
35180276002,0.0392,0.0295,0.0216,0.0229,0.0286,0.0445,0.0499,,0.0775,0.0168,0,0
35180276003,0.0398,0.0381,0.0194,0.0324,0.0283,0.0397,0.0463,,0.0741,0.0185,0,0
35180276004,0.0413,0.0588,0.0178,0.0334,0.0284,0.0355,0.0435,,0.0645,0.0233,0,0
35180276005,0.0428,0.0601,0.036,0.0355,0.039,0.0359,0.0468,0.0384,0.0759,0.0402,1,0
35180276006,0.0411,0.0362,0.0075,0.0332,,0.031,0.0221,,0.0456,0.0228,0,0
