DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
59370202002,0.0215,0.1077,0.0398,0.0249,0.0464,0.0512,0.0364,0.0452,0.0799,0.01,1,0
59370202003,0.0174,0.0574,0.043,0.0195,0.0337,,,0.0381,0.0485,0.0054,0,0
59370202004,0.0194,0.0597,0.0553,0.0229,0.0351,,,0.0389,0.0864,0.0072,0,0
59370202005,0.0171,0.0465,0.046,0.0197,0.0283,,,,0.0841,0.006,0,0
59370202006,0.0165,0.0423,0.0358,0.0175,0.0154,,,,0.0411,0.0045,0,0
59370203002,0.0154,,0.0166,0.0164,,0.0362,0.0258,,0.0736,0.0024,0,0
59370203003,0.0169,0.0076,0.0168,0.018,0.0115,0.0521,0.0371,,0.0629,0.0066,0,0
59370203006,0.0115,0.0131,,0.0071,0.0192,,,,,,0,0
59370205001,0.0067,,,,,,,,,,0,0
59370205004,0.0025,,,0.0002,,,,,,,0,0
59370205005,0.0054,,0.0076,0.0004,,0.0278,0.0197,,,0.0007,0,0
59370205007,0.0044,,0.0087,0.0004,,,,,0.0113,0.0007,0,0
59370205008,0.007,,,,,,,,,,0,0
59370205009,0.0042,,0.0085,0.0007,,,,,,0.0001,0,0
59370205010,0.0037,,,0.0003,,,,,,,0,0
59370205011,0.0022,,,0.0001,,,,,,,0,0
59370205012,0.0059,,,,,,,,,,0,0
59370205013,0.0056,,,,,,,,,,0,0
59370205015,0.005,,0.019,0.0004,,,,,,0.0006,0,0
59370205016,0.0051,,0.044,0.0005,,,,,,0.001,0,0
59370205017,0.0055,,,,,,,,,,0,0
59370205018,0.0005,,,0.0001,,,,,,,0,0
59370205020,0.0081,,,0.0002,0.0025,,,,,,0,0
59370205023,0.0003,,,0.0001,,,,,,,0,0
59370205024,0.0033,,,0.0002,,,,,0.0113,0.0001,0,0
59370205025,0.0025,,,0.0002,,,,,,,0,0
59370205026,0.0003,,,0.0,,,,,,,0,0
59370205027,0.0003,,,0.0001,,,,,,,0,0
59370206001,0.0109,,0.0127,0.0057,,,,,0.0436,0.0014,0,0
59370206002,0.0097,,0.014,0.0016,,,,,,0.0023,0,0
59370206003,0.0099,,0.0126,0.0006,0.0157,,,,,0.0028,0,0
59370207001,0.0092,,0.0088,0.0004,,,,,,0.0021,0,0
59370207004,0.0103,,,0.0013,0.0164,,,,,0.0045,0,0
59370207005,0.0134,0.0216,,0.0102,0.0582,,,,,0.0032,0,0
59370207006,0.0133,0.0213,,0.0102,0.0582,,,,,0.0032,0,0
59370207008,0.0083,,,0.0004,,,,,,0.0003,0,0
59370208003,0.0098,,,0.0012,0.0162,,,,,0.0018,0,0
59370208005,0.0094,,,0.0005,,,,,,0.002,0,0
59370208006,0.009,,,0.0004,,,,,,0.0014,0,0
59370208007,0.0106,,0.0072,0.0016,0.0189,,,,,0.0033,0,0
59370208008,0.0101,,,0.0012,,,0.069,,0.0525,0.0012,0,0
59370208009,0.0127,0.0165,,0.0084,0.0582,,,,,0.003,0,0
59370209001,0.0104,,,0.0012,,,0.069,,0.0525,0.0014,0,0
59370209002,0.0096,,,0.0008,,,0.0585,,0.0445,0.0011,0,0
59370209003,0.0101,,,0.0012,,,0.0548,,0.0417,0.0018,0,0
59370209004,0.0107,,,0.0057,,,0.069,,0.0525,0.002,0,0
59370210003,0.0119,0.0077,,0.0082,,,0.0487,,0.0371,0.0022,0,0
59370210004,0.0103,,,0.0048,,,0.0487,,0.0371,0.0013,0,0
59370210005,0.0117,,,0.008,,,0.0462,,0.0351,0.002,0,0
