DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24230673001,0.0271,0.0291,0.0483,0.0054,0.0177,0.0349,0.0612,,0.0435,0.0297,0,0
24230673002,0.0289,0.0323,0.026,0.0056,0.0225,0.0264,0.0516,,0.0115,0.0197,0,0
24230673003,0.0315,0.0302,0.0251,0.0061,0.0225,,0.0685,,0.023,0.0244,0,0
24230673004,0.0332,0.0429,0.0392,0.0069,0.0336,,0.0418,,0.0227,0.0275,0,0
24230673005,0.0341,0.0563,0.0542,0.007,0.0473,,0.0376,,0.0335,0.032,0,0
24230673006,0.0343,0.0349,0.032,0.0057,0.0244,,0.0393,,0.0213,0.0472,0,0
24230674001,0.0293,0.0776,0.1092,0.0044,0.0256,0.0291,0.0325,,0.0242,0.0207,0,0
24230674002,0.0303,0.0478,0.0617,0.0054,0.0285,0.0313,0.0365,,0.0372,0.0249,0,0
24230674003,0.0326,0.0526,0.0509,0.006,0.0432,0.026,0.0371,,0.0218,0.0275,0,0
24230674004,0.0358,0.0955,0.0613,0.0053,0.1241,0.0251,0.0258,,0.0493,0.0384,0,0
24230675001,0.0274,0.01,0.0609,0.0044,0.0199,0.0611,0.0207,,0.0541,0.017,0,0
24230675002,0.0276,0.0194,0.059,0.0043,0.0216,0.0598,0.0217,,0.0661,0.0171,0,0
24230675003,0.0275,0.0187,0.0605,0.0043,0.0207,0.0604,0.0212,,0.055,0.017,0,0
24230675004,0.0315,0.0366,0.0839,0.0054,0.0329,0.0629,0.018,,0.0666,0.0376,0,0
24230675005,0.033,0.0527,0.0758,0.005,0.0504,0.0553,0.0215,,0.0725,0.0414,0,0
24230675006,0.029,0.0268,0.0478,0.0046,0.0308,0.0377,0.0271,,0.1043,0.024,0,0
24230676001,0.0272,0.0079,0.1032,0.0046,0.0436,0.0777,,,0.1068,0.0229,0,0
24230676002,0.0274,0.0187,0.0662,0.0045,0.0207,0.0729,0.0207,,0.1008,0.0229,0,0
24230677001,0.0287,0.0082,0.0806,0.0055,0.0344,0.1707,0.0205,0.043,0.1439,0.0286,1,0
24230677002,0.0264,,0.138,0.0045,0.0438,0.1257,,0.0386,0.1857,0.0238,0,0
24230677003,0.0272,0.0162,0.0787,0.0052,0.0284,0.0928,0.0221,,0.1071,0.0252,0,0
24230677004,0.0283,0.0082,0.0708,0.0053,0.0261,0.1589,0.0237,0.0376,0.1332,0.0268,1,0
24230678001,0.0281,0.0076,0.0307,0.0046,0.0104,0.1129,0.0223,0.0376,0.1185,0.0164,1,0
24230678002,0.0273,0.0079,0.0311,0.0044,0.0086,0.1095,0.023,,0.1849,0.0151,0,0
24230678003,0.027,,0.0296,0.0043,0.0082,0.1036,0.0215,,0.1741,0.0124,0,0
24230678004,0.0277,0.0196,0.0575,0.0049,0.0371,0.0915,0.0289,,0.126,0.0255,0,0
24230678005,0.0272,0.0201,0.0479,0.0039,0.0189,0.0381,0.0274,,0.1362,0.0173,0,0
24230678006,0.0273,0.0205,0.0475,0.0039,0.0191,0.0389,0.028,,0.1499,0.0179,0,0
24230678007,0.0269,0.0199,0.0478,0.0037,0.0191,0.0373,0.0265,,0.1588,0.0173,0,0
24230679001,0.0274,0.015,0.0216,0.0048,0.054,0.1352,,0.0584,0.1128,0.0194,1,0
24230679002,0.0281,0.0143,0.0543,0.0047,0.0978,0.1971,,0.0565,0.1406,0.0245,1,0
24230679003,0.0291,0.0146,0.0671,0.0056,0.0749,0.2348,,0.0577,0.155,0.0281,1,0
24230679004,0.0284,0.0098,0.075,0.0055,0.0564,0.2471,,0.0493,0.1525,0.0266,1,0
24230679005,0.0272,0.01,0.0803,0.0052,0.0577,0.2244,0.018,0.0498,0.1612,0.0296,1,0
24230679006,0.0289,0.0104,0.0674,0.005,0.0511,0.4382,0.0179,0.0498,0.2505,0.032,1,0
24230679007,0.0286,0.0089,0.0747,0.0054,0.0335,0.1929,0.0196,0.0452,0.1514,0.0288,1,0
24230679008,0.0276,0.0075,0.0318,0.0045,0.023,0.1742,0.0187,0.0401,0.2104,0.0189,1,0
24230679009,0.0277,0.0076,0.041,0.0046,0.0232,0.1799,0.0197,0.0404,0.2198,0.0201,1,0
24230679010,0.0285,0.0091,0.0322,0.0054,0.0262,0.1788,0.0192,0.0437,0.1618,0.0211,1,0
24230679011,0.029,0.0118,0.0625,0.0057,0.0544,0.2179,,0.0512,0.1571,0.0266,1,0
24230680001,0.0282,,0.0083,0.0059,0.0382,0.1092,,0.0395,0.0928,0.0139,0,0
24230680002,0.0283,,0.0086,0.0058,,0.0793,0.0187,,0.1052,0.0129,0,0
24230680003,0.0279,,0.0156,0.0052,,0.0813,,,0.0815,0.0097,0,0
24230680004,0.0273,,0.0199,0.0044,0.008,0.084,0.0217,,0.0985,0.015,0,0
24230680005,0.0279,0.0087,0.0232,0.0046,0.0089,0.0991,0.0248,,0.1358,0.0208,0,0
24230682001,0.026,,0.0092,0.0038,,,0.0411,,0.0111,0.0069,0,0
24230682002,0.025,0.0114,0.0254,0.0037,,0.0278,0.0371,,0.0225,0.0106,0,0
24230682003,0.025,0.0109,0.0244,0.0036,,0.0271,0.0355,,0.012,0.0112,0,0
24230682004,0.025,0.0109,0.0243,0.0036,,0.0271,0.0355,,0.012,0.01,0,0
