DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
47060129003,0.0474,0.0075,0.0189,0.012,,0.1562,0.0562,,0.1385,0.0097,0,0
47060129004,0.0457,0.0177,0.0194,0.0122,0.012,0.1879,0.0544,,0.1632,0.0109,0,0
47060129005,0.0419,0.0124,0.0203,0.0334,0.0159,0.3287,0.0497,,0.1076,0.0113,0,0
47060129006,0.0388,,0.0168,0.0105,,0.135,0.0393,,0.0412,0.0041,0,0
47060129007,0.0377,,,0.0045,,,,,,0.0005,0,0
47060129008,0.0477,,0.0178,0.0106,,0.1384,0.0514,,0.142,0.0069,0,0
47060130001,0.0482,,,0.0201,0.0149,0.0534,0.0299,0.0365,0.1088,0.0076,0,0
47060130002,0.0491,,0.0072,0.0201,0.0149,0.0793,0.0365,0.043,0.1303,0.0108,0,0
47060130003,0.049,0.0098,0.0089,0.0196,0.0114,0.0625,0.056,0.0463,0.1374,0.0132,1,0
47060130004,0.0488,0.0098,0.0093,0.011,,0.0929,0.0487,0.0437,0.1384,0.0126,0,0
47060130005,0.0475,0.0079,0.0078,0.0192,0.0116,0.0609,0.0351,0.0368,0.1496,0.0101,1,0
47060130006,0.0473,,0.0072,0.0191,0.0116,0.0598,0.0306,,0.1194,0.0081,0,0
47060130007,0.0464,,0.007,0.0096,,0.0583,0.0295,,0.1106,0.0063,0,0
47060130008,0.0458,,,0.009,,0.0298,0.0277,,0.0922,0.0053,0,0
47060130009,0.0461,0.0085,0.0169,0.0096,,0.0895,0.0562,,0.185,0.01,0,0
47060131003,0.054,0.0177,0.0315,0.0272,0.009,0.1596,0.1692,0.0554,0.2003,0.0183,1,0
47060131004,0.0529,0.0201,0.0234,0.0256,0.0077,0.1436,0.1729,0.048,0.1858,0.017,1,0
47060131005,0.0481,0.0143,0.0121,0.0126,,0.1113,0.0752,0.0395,0.1447,0.0136,0,0
47060131006,0.0477,0.0135,0.0192,0.012,,0.1417,0.0775,,0.1534,0.0156,0,0
47060131007,0.0498,0.0268,0.0127,0.0137,0.0114,0.1532,0.085,0.0376,0.1591,0.016,1,0
47060131008,0.0482,0.0245,0.0133,0.0124,0.0128,0.1691,0.0642,,0.1378,0.0171,0,0
47060131009,0.0465,0.0201,0.0202,0.0109,,0.1792,0.0677,,0.16,0.0146,0,0
47060131010,0.0459,0.0196,0.0194,0.0125,0.0124,0.1939,0.0594,,0.154,0.0134,0,0
47060131011,0.0481,0.0236,0.0207,0.0342,0.0145,0.21,0.0689,,0.1314,0.0159,0,0
47060131012,0.0518,0.0124,0.0279,0.0232,0.0089,0.1436,0.0983,0.0548,0.2033,0.0153,1,0
47060132001,0.0545,0.0388,0.0358,0.0284,0.0083,0.2071,0.1471,0.0517,0.1905,0.02,1,0
47060132002,0.0553,0.0887,0.0356,0.0498,0.0078,0.2066,0.0675,0.0489,0.1755,0.0181,1,0
47060132003,0.0531,0.0432,0.0335,0.0477,0.0143,0.2243,0.0585,0.042,0.1844,0.0162,1,0
47060132004,0.0534,0.043,0.0569,0.0491,0.0125,0.2864,0.0487,0.041,0.1728,0.0162,1,0
47060132005,0.0524,0.0378,0.0362,0.0417,0.0202,0.2637,0.0393,,0.2222,0.0231,0,0
47060132006,0.0505,0.0327,0.0317,0.0395,0.0186,0.2488,0.0424,0.0368,0.1662,0.0182,1,0
47060132007,0.0501,0.0313,0.019,0.0379,0.0171,0.2093,0.0497,0.0368,0.1133,0.0144,1,0
47060132008,0.0482,0.0285,0.0142,0.0126,0.0155,0.1826,0.056,,0.1193,0.0147,0,0
47060132009,0.0475,0.0252,0.0221,0.0354,0.0174,0.2397,0.0571,,0.1321,0.0153,0,0
47060132010,0.0508,0.034,0.0264,0.0157,0.0127,0.1966,0.085,0.0407,0.1665,0.0156,1,0
47060132011,0.0511,0.039,0.0274,0.0163,0.0134,0.2062,0.0752,0.0417,0.1728,0.016,1,0
47060133003,0.0514,0.0085,0.0253,0.0221,0.0094,0.1068,0.0634,0.0565,0.1743,0.0119,1,0
47060133004,0.0508,0.0091,0.0169,0.0211,0.021,0.0826,0.0669,0.0537,0.1502,0.0127,1,0
47060133005,0.0488,0.01,0.009,0.0196,0.0116,0.0606,0.0572,0.0463,0.1322,0.0146,1,0
47060133006,0.0546,0.0146,0.0397,0.0371,0.0102,0.1542,0.1216,0.061,0.1888,0.0175,1,0
47060133007,0.0558,0.0212,0.0435,0.0389,0.0109,0.1674,0.115,0.0646,0.1741,0.0207,1,0
47060133008,0.0535,0.0191,0.032,0.0274,0.0092,0.154,0.0802,0.056,0.1249,0.0151,1,0
47060133010,0.0531,0.0104,0.0412,0.0274,0.0086,0.156,0.0535,0.0532,0.2178,0.0088,1,0
47060133011,0.0542,0.0255,0.0342,0.0293,0.0093,0.1632,0.0884,0.056,0.1419,0.0168,1,0
47060133012,0.0534,0.0562,0.046,0.0482,,0.2355,0.0585,0.046,0.1626,0.0161,0,0
47060133014,0.0632,0.0078,0.0405,0.0635,,0.1527,0.0192,,0.0809,0.0155,0,0
47060133015,0.0613,,0.0396,0.0654,,0.1546,0.0184,,0.0574,0.017,0,0
47060133016,0.0592,,0.0455,0.0669,,0.2293,0.0375,,0.0586,0.0183,0,0
47060133017,0.0579,0.0075,0.0468,0.0694,0.0118,0.2453,0.0437,,0.0419,0.0149,0,0
