DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24230028014,0.036,0.0166,,0.0043,0.0311,,,0.1151,0.0206,0.0034,0,0
24230029001,0.0387,0.0358,,0.0058,0.0197,,,0.0728,0.0131,0.0035,0,0
24230030001,0.0465,0.0457,0.0127,0.012,0.0259,,,0.0554,0.01,0.0155,0,0
24230030002,0.0515,0.0583,0.0239,0.0137,0.0137,,,0.0517,,0.0132,0,0
24230030003,0.0495,0.0225,0.0226,0.0073,0.0053,,0.0199,0.0522,,0.0101,0,0
24230030004,0.0449,,0.0414,0.0047,0.042,0.0389,0.0263,0.0908,0.0338,0.0152,0,0
24230030005,0.0507,0.0097,0.0474,0.0069,0.0542,0.0474,0.0283,0.0624,0.0411,0.0229,1,0
24230030006,0.0536,0.0314,0.0565,0.0263,0.0379,0.0514,0.0253,0.0859,0.0295,0.0272,1,0
24230030007,0.0515,0.0124,0.0533,0.0254,0.0485,0.0561,0.0271,0.0753,0.0432,0.0274,1,0
24230030008,0.0536,0.0311,0.0567,0.0263,0.0385,0.0493,0.0248,0.0833,0.0286,0.0288,1,0
24230030009,0.0538,0.0169,0.0607,0.0266,0.0348,0.0561,0.026,0.0981,0.0328,0.0296,1,0
24230030010,0.0507,0.0177,0.0601,0.0251,0.0312,0.0487,0.0226,0.1274,0.0275,0.0269,1,0
24230030011,0.0507,0.0177,0.0601,0.0251,0.0312,0.0487,0.0226,0.1274,0.0275,0.0269,1,0
24230030012,0.0498,0.0149,0.0546,0.0245,0.0314,0.044,0.0226,0.1218,0.0259,0.0261,1,0
24230030013,0.0504,0.0146,0.0532,0.0282,0.0314,0.0435,0.0215,0.1218,0.0249,0.0261,1,0
24230031001,0.0455,0.0169,0.0286,0.0049,0.0536,0.0336,0.0371,0.0615,0.0434,0.0141,1,0
24230031002,0.0476,,0.0301,0.0058,0.0438,0.0389,0.0342,0.089,0.0294,0.015,0,0
24230031003,0.0458,,0.0222,0.0058,0.0413,0.0359,0.0399,0.0904,0.0352,0.0137,0,0
24230031004,0.0459,,0.0306,0.0058,0.0419,0.0362,0.0399,0.0907,0.0348,0.0178,0,0
24230031005,0.0482,0.0076,0.0414,0.0059,0.0464,0.0402,0.0302,0.0912,0.0378,0.019,1,0
24230032001,0.0458,,0.03,0.0062,0.0587,0.0487,0.0571,0.0849,0.0694,0.0229,0,0
24230032002,0.0483,,0.0304,0.0062,0.0606,0.0561,0.0446,0.0909,0.0701,0.0205,0,0
24230032003,0.0483,,0.0304,0.0062,0.0606,0.0569,0.0446,0.0913,0.0701,0.0206,0,0
