DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
59330054001,0.0273,0.107,,0.0203,0.1201,0.0521,0.0796,0.0376,0.0269,0.0121,0,0
59330054004,0.0216,,0.0234,0.0444,,0.1319,0.0947,,0.0518,0.0068,0,0
59330054005,0.0212,,0.0343,0.0434,,0.134,0.0935,,0.0539,0.0064,0,0
59330055004,0.0263,,0.0086,0.0662,,0.1144,0.0846,,0.0785,0.0114,0,0
59330055005,0.0261,0.0492,0.0166,0.0514,0.0743,0.2677,0.217,0.0498,0.0484,0.0178,1,0
59330055006,0.0258,0.018,0.0155,0.0618,0.043,0.1097,0.1002,0.0448,0.0558,0.0184,1,0
59330055007,0.0266,,0.0173,0.0674,,0.1155,0.0845,,0.0809,0.0117,0,0
59330055008,0.0272,0.0354,0.0072,0.0594,0.0612,0.0926,0.0866,0.0463,0.0451,0.0177,1,0
59330056001,0.0247,,0.0074,0.0554,,0.1006,0.0737,,0.0719,0.0103,0,0
59330057003,0.0338,0.0673,0.039,0.097,,0.0762,0.0239,0.0577,0.098,0.02,0,0
59330057004,0.0336,0.0653,0.0379,0.1064,,0.0919,0.0292,0.0498,0.0857,0.016,0,0
59330057005,0.0342,0.0705,0.0379,0.0955,,0.0739,0.0232,0.0631,0.1047,0.0205,0,0
59330057006,0.0348,0.0652,0.0349,0.0815,,0.0659,0.021,0.061,0.0867,0.0181,0,0
59330057007,0.0321,0.0556,0.0315,0.0819,,0.063,0.0202,0.0517,0.0505,0.0149,0,0
59330057008,0.0302,0.0155,0.0258,0.084,,0.0953,0.0452,,0.1156,0.0145,0,0
59330058002,0.0208,,,0.0413,,,,,0.0964,0.0044,0,0
59330058003,0.0212,,,0.0424,,,,,0.0996,0.0062,0,0
59330058007,0.0249,,,0.0498,,0.0262,0.0186,,0.1762,0.0064,0,0
59330058008,0.0229,,,0.047,,0.0273,0.0194,,0.1385,0.0072,0,0
59330058009,0.0243,,,0.0512,,0.0336,0.0239,,0.1276,0.0094,0,0
59330058010,0.0244,,0.0066,0.0519,,0.0336,0.0239,,0.1101,0.0087,0,0
59330058011,0.0234,,,0.0487,,0.0293,0.0208,,0.1308,0.0077,0,0
59330061001,0.0218,0.0285,0.0453,0.0042,0.0103,0.0701,0.0299,,0.0739,0.0165,0,0
59330061002,0.0212,0.0238,0.0385,0.0034,0.009,0.0642,0.0271,,0.0623,0.0127,0,0
59330061005,0.0222,,0.0115,0.0089,,,,,0.0224,0.0124,0,0
59330061006,0.0223,,0.0116,0.009,,,,,0.0226,0.0129,0,0
59330061007,0.0248,0.0091,0.0344,0.0069,,0.0291,0.0207,,0.04,0.0179,0,0
59330061009,0.0234,,0.0106,0.0411,,,,,0.0252,0.0111,0,0
59330061010,0.0222,,0.0115,0.0089,,,,,0.0225,0.0125,0,0
59330062001,0.0215,0.0208,0.0628,0.004,0.0085,0.0601,0.0243,,0.0589,0.0144,0,0
59330062002,0.0254,0.0181,0.0371,0.0063,0.0076,0.031,0.0221,,0.052,0.0163,0,0
59330062003,0.0255,0.0093,0.034,0.0065,,0.03,0.0214,,0.0396,0.017,0,0
59330062004,0.0252,0.0198,0.0352,0.0076,0.0082,0.0327,0.0232,,0.0429,0.0677,0,0
59330062005,0.0237,,0.0284,0.0093,,0.0246,0.0175,,0.0404,0.0199,0,0
59330062006,0.0253,,0.0276,0.0098,,,,,0.0434,0.0189,0,0
59330062010,0.0234,,0.0284,0.0077,,0.0246,0.0175,,0.0427,0.0143,0,0
59330062011,0.0217,0.0167,0.0485,0.0058,0.0078,0.0561,0.0197,,0.0536,0.0143,0,0
59330062015,0.0228,,0.0133,0.0101,,0.0248,,,0.0444,0.018,0,0
59330062018,0.0232,,0.0258,0.0076,,,,,0.0398,0.0133,0,0
59330063001,0.0248,0.04,0.0631,0.0071,0.0142,0.0831,0.0355,,0.104,0.0331,0,0
59330063002,0.0238,0.0315,0.0806,0.0059,0.0119,0.0732,0.0313,,0.1174,0.0202,0,0
59330063003,0.0231,0.0223,0.1446,0.0045,0.0089,0.0668,0.0255,,0.1345,0.0171,0,0
59330063004,0.0228,0.0238,0.139,0.0044,0.0098,0.0701,0.0263,0.0368,0.1521,0.0205,1,0
59330063005,0.023,0.0217,0.0849,0.0048,0.01,0.0667,0.0235,0.0373,0.1213,0.0175,1,0
59330063006,0.0224,0.0223,0.0576,0.0053,0.0107,0.0728,0.0243,0.0392,0.0597,0.019,1,0
59330063007,0.0254,0.0256,0.0437,0.0066,0.0102,0.0668,0.0277,,0.0644,0.0315,0,0
59330063008,0.0233,0.01,0.031,0.0042,,0.0308,0.0219,,0.0394,0.0118,0,0
59330064002,0.0224,0.0163,0.0396,0.0066,0.0079,0.0584,0.0197,,0.0579,0.0152,0,0
59330064008,0.0211,,0.0194,0.0053,,0.0316,,,0.0387,0.0105,0,0
