DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
48010196001,0.0244,0.0495,0.0635,0.0134,0.0613,0.2066,0.1116,0.0437,0.0938,,0,0
48010196002,0.025,0.056,0.0721,0.0126,0.0729,0.2287,0.1237,0.0404,0.0856,,0,0
48010196003,0.0329,0.0739,0.0775,0.0118,0.0938,0.2495,0.1209,0.0384,0.1068,,0,0
48010196004,0.0277,0.0857,0.082,0.0122,0.0934,0.219,0.12,0.0407,0.0939,,0,0
48010196005,0.0341,0.0965,0.0858,0.0121,0.1053,0.2251,0.121,0.0401,0.1512,,0,0
48010196006,0.0261,0.1204,0.0736,0.0117,0.1058,0.2675,0.1073,,0.0664,,0,0
48010196007,0.0244,0.0837,0.0674,0.0106,0.0909,0.4112,0.1189,,0.0536,,0,0
48010196008,0.024,0.0971,0.0686,0.0108,0.1357,0.2777,0.133,,0.0483,,0,0
48010196009,0.0227,0.0811,0.0634,0.0098,0.0586,0.2699,0.1495,,0.0437,,0,0
48010196010,0.0217,0.0716,0.0478,0.0092,0.046,0.2493,0.1488,,0.0517,,0,0
48010196011,0.0208,0.0618,0.0523,0.0089,0.0518,0.2154,0.1077,,0.0539,,0,0
48010196012,0.0261,0.0732,0.0757,0.0129,0.0696,0.2055,0.1146,0.0444,0.0771,,0,0
48010196013,0.0257,0.0475,0.0671,0.0132,0.0564,0.1859,0.1229,0.0512,0.079,,0,0
48010197001,0.0199,0.0457,0.0521,0.0095,0.0477,0.2198,0.1221,,0.0215,,0,0
48010197002,0.0195,0.0331,0.028,0.0073,0.0376,0.1833,0.11,,0.0214,,0,0
48010197003,0.02,0.0427,0.0456,0.0089,0.0402,0.2134,0.1161,,0.0321,,0,0
48010197004,0.0192,0.0283,0.0424,0.0073,0.0349,0.1855,0.09,,0.0244,,0,0
48010197005,0.019,0.0259,0.0328,0.0069,0.0327,0.174,0.0871,,0.026,,0,0
48010197006,0.019,0.0284,0.04,0.0076,0.0305,0.1691,0.0912,,0.0667,,0,0
48010197007,0.0193,0.0385,0.0412,0.0079,0.0325,0.18,0.0934,,0.0635,,0,0
48010197008,0.0202,0.0519,0.0435,0.0087,0.0535,0.2065,0.0997,,0.0392,,0,0
48010197009,0.0209,0.0595,0.048,0.0091,0.0623,0.2355,0.12,,0.0376,,0,0
48010197010,0.0205,0.0616,0.0524,0.0095,0.0635,0.249,0.1245,,0.0326,,0,0
48010197011,0.023,0.0753,0.0718,0.0099,0.0803,0.4953,0.1179,,0.0321,,0,0
48010197012,0.0216,0.0691,0.0575,0.0094,0.0729,0.2391,0.1267,,0.0538,,0,0
48010198001,0.0209,0.082,0.0478,0.0133,0.0531,0.2241,0.1235,,0.0243,,0,0
48010198002,0.0195,0.0389,0.0279,0.0084,0.0382,0.1752,0.1061,,0.0451,,0,0
48010198003,0.0189,0.0264,0.0257,0.0069,0.0243,0.1589,0.0852,,0.0455,,0,0
48010198004,0.0191,0.0273,0.0258,0.0073,0.024,0.1455,0.0988,,0.0545,,0,0
48010198012,0.0211,0.0505,0.0449,0.0087,0.038,0.184,0.1274,,0.0498,,0,0
48010198013,0.0168,,0.0066,0.0054,,0.0267,0.0437,,0.0104,,0,0
48010198014,0.0178,,0.0205,0.0024,,0.0879,0.0954,,0.1867,,0,0
48010198015,0.0169,,0.0106,0.0022,,0.0592,0.0676,,0.1349,,0,0
48010198016,0.0185,,0.0244,0.0024,,0.0254,0.0563,,0.1713,,0,0
48010198017,0.0202,,0.0261,0.0029,,0.0837,0.104,,0.1927,,0,0
48010198018,0.0192,0.0305,0.0272,0.0075,0.026,0.1527,0.1021,,0.0559,,0,0
48010198019,0.0193,0.0164,0.0278,0.0027,,0.1085,0.0836,,0.1264,,0,0
48010198021,0.0165,,,0.0047,,0.0256,0.0388,,,,0,0
48010198022,0.0176,,0.0098,0.0019,,,0.069,,0.0861,,0,0
48010199001,0.0224,0.0691,0.0723,0.0096,0.0573,0.3429,0.241,,0.0477,,0,0
48010199002,0.0217,0.0617,0.0629,0.009,0.0442,0.3285,0.237,,0.0343,,0,0
48010199003,0.0216,0.0789,0.0747,0.009,0.0502,0.4493,0.3083,,0.0459,,0,0
48010199004,0.0205,0.0844,0.057,0.009,0.0327,0.1926,0.1329,,0.0387,,0,0
48010199005,0.0211,0.0597,0.0586,0.0085,0.0367,0.221,0.1632,,0.0298,,0,0
48010199006,0.0211,0.0754,0.1064,0.0096,0.031,0.1123,0.0875,,0.1175,,0,0
48010199007,0.0204,0.1135,0.0596,0.0086,0.0262,0.1204,0.0873,,0.0323,,0,0
48010199008,0.0205,0.0571,0.0804,0.0095,0.0251,0.0975,0.0836,,0.0699,,0,0
48010199009,0.0192,0.0684,0.0589,0.0067,,0.0908,0.0697,,0.0323,,0,0
48010199010,0.0184,0.0361,0.0533,0.0076,,0.0761,0.065,,0.0222,,0,0
