DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24930155001,0.0001,,,,,,,,,,0,0
24930155002,0.0001,,,,,,,,,,0,0
24930155003,0.0,,,,,,,,,,0,0
24930155008,0.0006,,,,,,,,,,0,0
24930155009,0.0003,,,,,,,,,,0,0
24930155011,0.0002,,,,,,,,,,0,0
24930155012,0.0001,,,,,,,,,,0,0
24930155013,0.0,,,,,,,,,,0,0
24930155014,0.0003,,,,,,,,,,0,0
24930155015,0.0001,,,,,,,,,,0,0
24930156003,0.0018,,,,0.0125,,,0.5647,,,0,0
24930156004,0.0016,,,,0.0736,,,0.0617,,,0,0
24930156006,0.0002,,,,,,,,,,0,0
24930156007,0.0005,,,,,,,0.0742,,,0,0
24930156008,0.0007,,,,0.014,,,0.0742,,,0,0
24930156009,0.0003,,,,,,,,,,0,0
24930156010,0.0003,,,,,,,,,,0,0
24930156011,0.0003,,,,,,,,,,0,0
24930156012,0.0005,,,,,,,0.0468,,,0,0
24930156013,0.0002,,,,,,,,,,0,0
24930157001,,,,,,,,,,,0,0
24930157002,0.0002,,,,,,,,,,0,0
24930157003,0.0004,,,,,,,0.037,,,0,0
24930157004,0.0,,,,,,,,,,0,0
24930157007,0.0004,,0.0067,,,0.0251,,,,,0,0
