DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35060517002,0.0447,,0.0066,0.0036,0.0069,0.0246,0.099,0.0368,0.049,0.0099,0,0
35060518001,0.0464,,0.0082,0.0036,0.02,0.0295,0.0881,,0.0751,0.0183,0,0
35060518004,0.0478,,0.0091,0.004,0.0224,0.0606,0.11,,0.0933,0.023,0,0
35060519001,0.0531,,0.0217,0.0055,0.041,0.0698,0.0893,,0.0717,0.0228,0,0
35060519002,0.0533,,0.0177,0.0107,0.1278,0.0829,0.0893,,0.0776,0.0307,0,0
35060519003,0.0514,,0.0149,0.0081,0.0763,0.0742,0.0841,,0.0802,0.0358,0,0
35060519004,0.0516,,0.0151,0.0088,0.0809,0.0755,0.0889,,0.0916,0.0388,0,0
35060520001,0.0529,,0.0266,0.0055,0.0302,0.0841,0.0789,,0.0547,0.0129,0,0
35060520002,0.0483,,0.0484,0.0053,0.0297,0.1491,0.1255,,0.069,0.0135,0,0
35060521001,0.0627,,0.0136,0.0072,0.0523,0.1117,0.0602,,0.0331,0.0194,0,0
35060521002,0.051,,0.0338,0.0059,0.0234,0.1327,0.0994,,0.0758,0.0112,0,0
35060522001,0.0699,,0.0067,0.0072,0.0125,0.108,0.0543,,0.0449,0.0196,0,0
35060522002,0.0671,,0.008,0.0073,0.0254,0.1056,0.0723,,0.0215,0.015,0,0
35060522003,0.0659,,,0.0075,0.0125,0.0724,0.0484,,0.0202,0.0118,0,0
35060522004,0.0693,,,0.0078,,0.0728,0.0478,,0.0338,0.0158,0,0
35060522005,0.0668,,0.0071,0.008,,0.1196,0.0755,,0.0185,0.0125,0,0
35060522006,0.0583,,0.0078,0.0063,0.0118,0.0873,0.0791,,,0.0071,0,0
35060522007,0.0574,,0.0094,0.0072,,0.1136,0.0637,,0.0337,0.0085,0,0
35060522008,0.0565,,0.0115,0.0079,0.0124,0.1027,0.0538,0.0401,0.0495,0.0118,0,0
35060522009,0.0575,,0.0078,0.0064,0.0127,0.0883,0.0626,,,0.0077,0,0
35060523001,0.0691,,,0.0075,,0.0822,0.0241,,0.0568,0.0231,0,0
35060523002,0.0678,,,0.0068,,0.1918,0.0248,,0.0399,0.0189,0,0
35060524001,0.0719,,,0.0083,,0.1144,0.0482,,0.0914,0.0367,0,0
35060525001,0.065,,0.0074,0.0078,,0.0853,0.0217,0.0395,0.0843,0.029,0,0
35060526001,0.0724,,,0.0068,0.012,0.1146,0.0653,,0.0881,0.0311,0,0
35060526004,0.0713,,0.0071,0.0076,,0.0713,0.0337,,0.0862,0.0185,0,0
35060526005,0.0718,,0.0068,0.0074,,0.082,0.0325,,0.0984,0.0307,0,0
35060527001,0.0719,,0.0084,0.008,,0.0736,0.0286,,0.1138,0.0232,0,0
35060527002,0.071,,0.0076,0.0085,,0.0669,0.0255,,0.0866,0.0208,0,0
35060527003,0.0715,,0.0075,0.0084,,0.0893,0.025,,0.0782,0.0214,0,0
35060527004,0.0682,,0.011,0.0095,,0.0606,0.0197,,0.0756,0.0203,0,0
35060527005,0.0729,,0.0078,0.008,0.0162,0.0583,0.0223,,0.048,0.0167,0,0
35060529001,0.0764,,0.0187,0.0079,0.0162,0.0248,0.0186,,0.0499,0.0141,0,0
35060529002,0.077,,0.0217,0.0083,0.0145,,0.0177,,0.0705,0.0138,0,0
35060529003,0.0756,,0.0279,0.0085,0.0131,,,,0.0535,0.0162,0,0
35060529004,0.0765,,0.0294,0.0084,0.0159,0.0246,,,0.047,0.0202,0,0
35060529005,0.0767,,0.036,0.0085,0.0119,,,,0.0642,0.0197,0,0
35060529006,0.0711,,0.016,0.008,,0.026,0.0192,,0.0782,0.0126,0,0
35060529007,0.0719,,0.018,0.0081,,0.0248,0.0182,,0.068,0.0114,0,0
35060529008,0.0711,,0.0133,0.0076,0.0113,0.0554,0.0223,,0.1187,0.0146,0,0
35060530001,0.076,,0.0102,0.0186,0.0493,0.0435,0.0243,,0.0225,0.0267,0,0
35060530002,0.0763,,0.0112,0.0185,0.0246,0.0349,0.0228,,0.0147,0.0207,0,0
35060530003,0.0768,,0.0102,0.0187,0.021,0.0359,0.0235,,0.017,0.0167,0,0
35060530004,0.0754,,0.0095,0.0085,0.0186,0.0333,0.0219,,0.017,0.0136,0,0
35060530005,0.0754,,0.0096,0.0085,0.0182,0.0333,0.0219,,0.0273,0.0135,0,0
35060530006,0.0763,,0.0163,0.008,0.0182,0.0264,0.0196,,0.0511,0.0168,0,0
35060530007,0.0778,,0.0155,0.0189,0.0283,0.0313,0.0187,,0.0167,0.017,0,0
35060530008,0.0733,,0.0096,0.007,0.0145,0.0288,0.0192,,0.0277,0.0093,0,0
35060531004,0.0644,,0.0114,0.0029,,,,,,0.0032,0,0
