DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
59170375001,0.0703,,0.0685,0.0192,0.0446,0.1378,0.0618,,0.1928,0.0194,0,0
59170375002,0.0746,0.0081,0.0573,0.0235,0.0509,0.1169,0.0635,,0.179,0.0157,0,0
59170375003,0.0742,0.0174,0.0609,0.0249,0.0687,0.1372,0.0406,,0.2149,0.0218,0,0
59170375004,0.072,0.0081,0.0663,0.0202,0.0635,0.1406,0.0603,,0.1897,0.0243,0,0
59170375005,0.0706,0.0075,0.0685,0.0223,0.0821,0.1515,0.0389,,0.2187,0.0207,0,0
59170375006,0.0719,0.008,0.0609,0.0231,0.1066,0.1329,0.0375,,0.2553,0.0213,0,0
59170375007,0.0745,0.009,0.051,0.0254,0.1146,0.111,0.0372,,0.2927,0.0231,0,0
59170375008,0.0752,0.0186,0.0474,0.0262,0.0901,0.1073,0.0371,,0.3702,0.027,0,0
59170375009,0.0731,0.0087,0.0594,0.024,0.063,0.1333,0.0396,,0.2027,0.0184,0,0
59170375010,0.0789,0.0223,0.0369,0.0296,0.0853,0.0846,0.0196,,0.3114,0.0273,0,0
59170375011,0.0768,0.0199,0.0419,0.025,0.0543,0.0948,0.0416,,0.206,0.0241,0,0
59170375014,0.0739,0.0086,0.049,0.0257,0.0641,0.0841,0.0182,,0.3114,0.0224,0,0
59170375015,0.0758,0.0096,0.0276,0.0279,0.063,0.0552,,,0.3361,0.0265,0,0
59170375016,0.0745,0.0189,0.0414,0.0266,0.0822,0.0945,0.0193,,0.3601,0.0257,0,0
59170376001,0.0704,0.0166,0.0613,0.0159,0.035,0.0813,0.0342,,0.184,0.0309,0,0
59170376002,0.0669,0.0122,0.0465,0.017,0.0291,0.0627,0.025,,0.1604,0.0223,0,0
59170376003,0.0682,0.0112,0.049,0.0177,0.0448,0.0726,0.0243,,0.1828,0.0235,0,0
59170376004,0.0721,0.0075,0.0529,0.0223,0.0424,0.0882,0.0235,,0.2517,0.0184,0,0
59170376005,0.0721,,0.0724,0.0232,0.0412,0.1482,0.021,,0.2605,0.0215,0,0
59170376007,0.073,0.0077,0.049,0.0252,0.0561,0.0841,0.0182,,0.3129,0.0224,0,0
59170376009,0.0751,0.0086,0.0424,0.0271,0.0622,0.0698,,,0.3717,0.0258,0,0
59170376010,0.0771,0.0083,0.0283,0.0294,0.053,0.0569,,,0.3742,0.0317,0,0
59170376011,0.0748,,0.042,0.0267,0.0452,0.0685,,,0.3232,0.0288,0,0
59170376012,0.0694,,0.0444,0.0221,0.0495,0.074,0.0175,,0.2635,0.0201,0,0
59170377001,0.0697,0.0083,0.0426,0.0226,0.04,0.0698,0.0197,,0.2753,0.0243,0,0
59170377002,0.0696,,0.0398,0.0237,0.0336,0.0661,,,0.3109,0.0187,0,0
59170378001,0.0664,0.0098,0.036,0.017,0.0172,0.0681,0.0223,,0.1827,0.0145,0,0
59170378002,0.0642,,0.0341,0.0192,0.0127,0.0528,,,0.2778,0.0118,0,0
59170381006,0.0731,0.0347,0.0156,0.0326,,0.0267,,,0.2868,0.0145,0,0
59170381013,0.0746,0.0081,0.0089,0.0326,0.0368,0.0316,,,0.3721,0.0214,0,0
59170381014,0.075,0.0251,0.0099,0.0324,0.0291,0.0345,,,0.3469,0.0188,0,0
59170383001,0.0764,0.0618,0.0111,0.0213,0.0079,0.1157,0.1153,,0.1871,0.0204,0,0
59170383006,0.0912,0.0696,0.0242,0.0344,0.0144,0.0406,0.0538,,0.0909,0.0416,0,0
59170383007,0.0946,0.0879,0.0242,0.0353,0.0306,0.0373,0.0495,,0.0938,0.0438,0,0
59170383008,0.0955,0.0608,0.039,0.0356,0.0258,0.0594,0.0454,,0.1002,0.0479,0,0
59170383009,0.0944,0.06,0.0348,0.036,0.0441,0.0607,0.0438,,0.127,0.0405,0,0
59170383010,0.0988,0.0857,0.0358,0.0407,0.0644,0.0359,0.0482,,0.0836,0.0593,0,0
59170383011,0.1011,0.0954,0.0638,0.0466,0.0933,0.0578,0.0438,,0.091,0.0861,0,0
59170383012,0.1,0.0886,0.0487,0.0434,0.0578,0.0345,0.0465,,0.0936,0.0716,0,0
59170383013,0.1004,0.138,0.0785,0.0466,0.115,0.0565,0.0417,,0.0791,0.1095,0,0
59170383014,0.1042,0.1027,0.0693,0.0485,0.1523,0.0561,0.037,0.0373,0.0938,0.1497,1,0
59170383015,0.0929,0.0584,0.0251,0.0341,0.0426,0.0644,0.0461,,0.1401,0.0386,0,0
59170383016,0.091,0.054,0.024,0.0328,0.0425,0.0647,0.044,,0.1507,0.0296,0,0
59170383017,0.0831,0.0515,0.0318,0.0276,0.0389,0.0652,0.0392,,0.1158,0.0309,0,0
59170383019,0.0914,0.0546,0.0252,0.0322,0.0237,0.0657,0.0474,,0.123,0.0296,0,0
59170383020,0.0906,0.1029,0.0256,0.0309,0.0219,0.0674,0.0516,,0.1158,0.0327,0,0
59170383024,0.0767,0.0306,0.0273,0.0216,0.0247,0.1397,0.123,,0.2487,0.0245,0,0
59170383025,0.0794,0.0467,0.0185,0.0233,0.0288,0.3706,0.3185,,0.1919,0.0279,0,0
59170383027,0.0927,0.0826,0.0227,0.0339,0.0343,0.0661,0.0852,,0.1772,0.0645,0,0
