DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
48070203001,0.0008,0.0111,,,0.0164,,,0.0646,,,0,0
48070203002,0.0008,0.0112,,,0.0166,,,0.0654,,,0,0
48070203003,0.0007,0.0074,,,0.0113,,,0.0468,,,0,0
48070203004,0.0008,0.0106,,,0.0157,,,0.0617,,,0,0
48070203005,0.0006,,,,,,,0.0427,,,0,0
48070203006,0.0009,0.0096,,,0.0143,,,0.0577,,,0,0
48070203007,0.0009,0.0138,,,0.0202,,,0.0763,,,0,0
48070203008,0.0008,0.0084,,,0.0127,,,0.0522,,,0,0
48070203009,0.001,0.0107,,,0.0159,,,0.0631,,,0,0
48070203010,0.001,0.0131,,,0.0192,,,0.0733,,,0,0
48070203011,0.0008,0.0092,,,0.0138,,,0.056,,,0,0
48070203012,0.0008,0.0086,,,0.013,,,0.0532,,,0,0
48070203013,0.0008,,,,,,,0.0537,,,0,0
48070203017,0.0007,,,,,,,0.0468,,,0,0
48070203018,0.0005,,,,,,,0.0434,,,0,0
48070203019,0.0009,0.0155,,,0.0227,,,0.082,,,0,0
48070203020,0.001,0.0152,,,0.0222,,,0.082,,,0,0
48070203021,0.0007,0.0094,,,0.0141,,,0.0565,,,0,0
48070204001,0.0009,0.0186,,,0.027,,,0.0931,,,0,0
48070204002,0.001,0.0255,,,0.0366,,,0.1143,,,0,0
48070204003,0.0013,0.0463,,,0.0657,,,0.1605,,,0,0
48070204004,0.0011,0.0212,,,0.0306,,,0.1017,,,0,0
48070204005,0.0018,0.0805,,,0.1136,,,0.3249,,,0,0
48070204006,0.0013,0.0212,,,0.0306,,,0.1477,,,0,0
48070204007,0.0014,0.0212,,,0.0306,,,0.1477,,,0,0
48070204008,0.0015,0.0461,,,0.0654,,,0.5647,,,0,0
48070204009,0.0011,0.0166,,,0.0241,,,0.1167,,,0,0
48070204010,0.0015,0.0207,,,0.0298,,,0.1477,,,0,0
48070204012,0.0015,0.0207,,,0.0298,,,0.1477,,,0,0
48070204013,0.0011,0.0131,,,0.0192,,,0.0964,,,0,0
48070204014,0.001,0.0182,,,0.0264,,,0.2164,,,0,0
48070204015,0.0012,0.0141,,,0.0206,,,0.1477,,,0,0
48070204016,0.0011,0.0124,,,0.0182,,,0.0901,,,0,0
48070204017,0.0012,0.0141,,,0.0206,,,0.1477,,,0,0
48070204019,0.001,0.01,,,0.0149,,,0.0947,,,0,0
48070204020,0.0009,0.0082,,,0.0124,,,0.0753,,,0,0
48070204022,0.001,0.012,,,0.0177,,,0.1192,,,0,0
48070204023,0.001,,,,,,,0.0468,,,0,0
48070204025,0.0013,0.0076,,,0.0115,,,0.0565,,,0,0
48070204028,0.001,0.0131,,,0.0192,,,0.0733,,,0,0
48070204029,0.001,0.0118,,,0.0174,,,0.0678,,,0,0
48070204030,0.0004,,,,,,,0.0373,,,0,0
48070204031,0.0009,,,,,,,0.041,,,0,0
48070204032,0.0007,0.0093,,,0.0139,,,0.0872,,,0,0
48070204033,0.0009,0.0089,,,0.0133,,,0.0833,,,0,0
48070204034,0.0009,0.0083,,,0.0125,,,0.0763,,,0,0
48070204035,0.0008,0.0096,,,0.0143,,,0.0901,,,0,0
