DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
59410306004,0.0006,,0.0103,,,,,0.2683,,,0,0
59410306005,0.0008,,0.0122,,,,,0.2448,,,0,0
59410306011,0.0003,,0.031,,,,,0.0774,,,0,0
59410306014,0.0003,,0.0266,,,,,0.0723,,,0,0
59410306017,0.0002,,0.0259,,,,,0.0565,,,0,0
59410306018,0.0002,,0.016,,,,,0.0517,,,0,0
59410306020,0.0002,,0.0889,,,,,0.0548,,,0,0
59410306024,0.0002,,0.0232,,,,,0.0723,,,0,0
59410306033,0.0002,,0.0078,,,,,0.1874,,,0,0
59410306037,0.0002,,0.031,,,,,0.067,,,0,0
59410306040,0.0002,,0.0083,,,,,0.156,,,0,0
59410306041,0.0002,,0.0086,,,,,0.1756,,,0,0
59410306042,0.0002,,0.0089,,,,,0.2164,,,0,0
59410306043,,,,,,,,,,,0,1
59410306044,0.0003,,0.0107,,,,,0.2817,,,0,0
59410306045,0.0004,,0.0118,,,,,0.5647,,,0,0
59410306046,0.0003,,0.0177,,,,,0.1017,,,0,0
59410306048,0.0,,,,0.0018,,,,,,0,0
59410306049,0.0004,,0.0092,,,,,0.3925,,,0,0
59410306050,0.0,,,,,,,,,,0,0
59410306051,0.0003,,0.0294,,,,,0.0796,,,0,0
59410306052,0.0002,,0.0232,,,,,0.0723,,,0,0
