DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
13070330002,0.0137,,0.009,0.0056,,0.0474,,,,0.0019,0,0
13070331001,0.0123,,0.0204,0.0038,,0.0817,,,,0.001,0,0
13070331002,0.0139,,0.0296,0.0052,,0.0817,,,,0.002,0,0
13070331003,0.0123,,0.0204,0.0038,,0.0817,,,,0.001,0,0
13070332002,0.0095,,,0.0042,,,,,0.0477,0.0014,0,0
13070332003,0.0095,,,0.0042,,,,,0.0455,0.0014,0,0
13070332004,0.0104,,,0.0055,,,,,0.0228,0.0023,0,0
13070332005,0.0103,,,0.0049,,,,,0.0182,0.0013,0,0
13070332006,0.0103,,,0.0051,,,,,0.0278,0.0016,0,0
13070332007,0.0104,,,0.0046,,,,,0.0335,0.0016,0,0
13070332008,0.0092,,0.0067,0.0037,,,,,0.0491,0.0014,0,0
13070332009,0.011,,0.0073,0.0046,,0.0246,,,0.0455,0.0017,0,0
13070333001,0.0116,,0.0079,0.0058,0.0136,0.0286,,,0.0252,0.0025,0,0
13070333002,0.0095,,0.0066,0.0043,,0.0246,,,,0.0013,0,0
13070333003,0.01,,0.0068,0.0075,0.0114,0.0254,,,0.0105,0.0013,0,0
13070334001,0.0141,0.0084,0.0447,0.0061,,0.0587,,,0.0133,0.0027,0,0
13070334002,0.0156,0.0239,0.1118,0.013,0.0089,0.0267,,,0.0718,0.0019,0,0
13070334003,0.0154,0.0111,0.0347,0.0078,0.0086,0.0389,,,0.0269,0.0022,0,0
13070334004,0.0147,0.0107,0.0337,0.006,0.0084,0.0295,,,0.0262,0.001,0,0
13070334005,0.0149,0.0129,0.0655,0.0079,0.0082,0.0389,,,0.0342,0.0018,0,0
13070335001,0.0124,,0.0074,0.0047,,,,,0.0267,0.0018,0,0
13070335002,0.0134,,0.0301,0.0059,,,,,0.0286,0.0034,0,0
13070335003,0.0139,0.0078,0.0331,0.0066,,,,,0.0461,0.0046,0,0
13070335004,0.0111,,,0.0044,0.0141,,,,0.0179,0.0007,0,0
13070335005,0.0117,,,0.0046,0.0182,,,,0.0204,0.0014,0,0
13070335006,0.0126,,0.0068,0.0046,,,,,0.0306,0.0017,0,0
13070335007,0.0105,,,0.004,0.0115,,,,0.0179,0.0001,0,0
13070336001,0.011,,0.0155,0.005,0.0155,0.0254,,,0.0623,0.0008,0,0
13070336002,0.011,,,0.0039,0.0166,,,,0.0137,0.0006,0,0
