Index,DataSource,ImageDate,Latitude,Longitude,PRUID,PROV_TERR,CSDUID
62,MDA Geospatial Services Inc.,2020,44.03729993,-79.62875474,35,Ontario,3543014
63,MDA Geospatial Services Inc.,2020,44.03665175,-79.62854795,35,Ontario,3543014
64,MDA Geospatial Services Inc.,2020,44.03578193,-79.63126005,35,Ontario,3543014
65,MDA Geospatial Services Inc.,2020,44.05338676,-79.60688456,35,Ontario,3543014
66,MDA Geospatial Services Inc.,2020,44.05306552,-79.60665447,35,Ontario,3543014
67,MDA Geospatial Services Inc.,2020,44.05289786,-79.6066128,35,Ontario,3543014
68,MDA Geospatial Services Inc.,2020,44.05284388,-79.60628312,35,Ontario,3543014
69,MDA Geospatial Services Inc.,2020,44.02962552,-79.63433037,35,Ontario,3543014
70,MDA Geospatial Services Inc.,2020,44.02959239,-79.63447229,35,Ontario,3543014
71,MDA Geospatial Services Inc.,2020,44.02956478,-79.63460474,35,Ontario,3543014
72,MDA Geospatial Services Inc.,2020,44.02931517,-79.63435838,35,Ontario,3543014
73,MDA Geospatial Services Inc.,2020,44.02928927,-79.63455459,35,Ontario,3543014
74,MDA Geospatial Services Inc.,2020,44.02955155,-79.6347416,35,Ontario,3543014
75,MDA Geospatial Services Inc.,2020,44.02920005,-79.63484937,35,Ontario,3543014
76,MDA Geospatial Services Inc.,2020,44.02914394,-79.63511625,35,Ontario,3543014
77,MDA Geospatial Services Inc.,2020,44.02912524,-79.6352931,35,Ontario,3543014
78,MDA Geospatial Services Inc.,2020,44.02935373,-79.63558345,35,Ontario,3543014
79,MDA Geospatial Services Inc.,2020,44.02941219,-79.63539277,35,Ontario,3543014
80,MDA Geospatial Services Inc.,2020,44.02941822,-79.63518371,35,Ontario,3543014
81,MDA Geospatial Services Inc.,2020,44.03978306,-79.60921517,35,Ontario,3519049
82,MDA Geospatial Services Inc.,2020,44.03976334,-79.60930372,35,Ontario,3519049
83,MDA Geospatial Services Inc.,2020,44.03974567,-79.60939194,35,Ontario,3519049
84,MDA Geospatial Services Inc.,2020,44.039729,-79.60947608,35,Ontario,3519049
85,MDA Geospatial Services Inc.,2020,44.03970943,-79.60956692,35,Ontario,3519049
86,MDA Geospatial Services Inc.,2020,44.03969067,-79.609652,35,Ontario,3519049
87,MDA Geospatial Services Inc.,2020,44.03967589,-79.60973939,35,Ontario,3519049
88,MDA Geospatial Services Inc.,2020,44.03965476,-79.60982496,35,Ontario,3519049
89,MDA Geospatial Services Inc.,2020,44.03962874,-79.60991103,35,Ontario,3519049
90,MDA Geospatial Services Inc.,2020,44.03960771,-79.60999908,35,Ontario,3519049
91,MDA Geospatial Services Inc.,2020,44.03959426,-79.61008295,35,Ontario,3519049
92,MDA Geospatial Services Inc.,2020,44.03956726,-79.61017146,35,Ontario,3519049
93,MDA Geospatial Services Inc.,2020,44.03955012,-79.61026024,35,Ontario,3519049
94,MDA Geospatial Services Inc.,2020,44.03953521,-79.61034233,35,Ontario,3519049
95,MDA Geospatial Services Inc.,2020,44.03951791,-79.61043574,35,Ontario,3519049
96,MDA Geospatial Services Inc.,2020,44.03949985,-79.61052518,35,Ontario,3519049
97,MDA Geospatial Services Inc.,2020,44.03947272,-79.61060624,35,Ontario,3519049
98,MDA Geospatial Services Inc.,2020,44.03945738,-79.61069843,35,Ontario,3519049
99,MDA Geospatial Services Inc.,2020,44.03944001,-79.61077905,35,Ontario,3519049
100,MDA Geospatial Services Inc.,2020,44.03942177,-79.61086942,35,Ontario,3519049
101,MDA Geospatial Services Inc.,2020,44.03940204,-79.6109522,35,Ontario,3519049
102,MDA Geospatial Services Inc.,2020,44.03938813,-79.61102852,35,Ontario,3519049
103,MDA Geospatial Services Inc.,2020,44.03937504,-79.6111043,35,Ontario,3519049
104,MDA Geospatial Services Inc.,2020,44.03935665,-79.6111813,35,Ontario,3519049
105,MDA Geospatial Services Inc.,2020,44.03933886,-79.61125082,35,Ontario,3519049
106,MDA Geospatial Services Inc.,2020,44.039317,-79.61132102,35,Ontario,3519049
107,MDA Geospatial Services Inc.,2020,44.03927752,-79.61146238,35,Ontario,3519049
108,MDA Geospatial Services Inc.,2020,44.03927407,-79.61154002,35,Ontario,3519049
109,MDA Geospatial Services Inc.,2020,44.0392181,-79.61175473,35,Ontario,3519049
110,MDA Geospatial Services Inc.,2020,44.03919181,-79.6119014,35,Ontario,3519049
111,MDA Geospatial Services Inc.,2020,44.03914622,-79.61212397,35,Ontario,3519049
112,MDA Geospatial Services Inc.,2020,44.03916466,-79.61204772,35,Ontario,3519049
113,MDA Geospatial Services Inc.,2020,44.03917458,-79.61197217,35,Ontario,3519049
114,MDA Geospatial Services Inc.,2020,44.0280066,-79.60536683,35,Ontario,3519049
115,City of Surrey,2018,49.06647722,-122.7182603,59,British Columbia,5915004
116,City of Surrey,2018,49.06647238,-122.7173038,59,British Columbia,5915004
117,City of Surrey,2018,49.06648017,-122.7163419,59,British Columbia,5915004
118,City of Surrey,2018,49.06628884,-122.7153969,59,British Columbia,5915004
119,City of Surrey,2018,49.06617401,-122.714465,59,British Columbia,5915004
120,City of Surrey,2018,49.06799513,-122.7141759,59,British Columbia,5915004
121,City of Surrey,2018,49.06758851,-122.7140919,59,British Columbia,5915004
122,City of Surrey,2018,49.07021581,-122.719775,59,British Columbia,5915004
123,City of Surrey,2018,49.08707561,-122.798731,59,British Columbia,5915004
124,City of Surrey,2018,49.08681666,-122.7986962,59,British Columbia,5915004
125,City of Surrey,2018,49.08798085,-122.7979859,59,British Columbia,5915004
126,City of Surrey,2018,49.08769793,-122.7981096,59,British Columbia,5915004
127,City of Surrey,2018,49.08742321,-122.7980195,59,British Columbia,5915004
128,City of Surrey,2018,49.09587293,-122.8022833,59,British Columbia,5915004
129,City of Surrey,2018,49.09666523,-122.8019719,59,British Columbia,5915004
130,City of Surrey,2018,49.09574421,-122.8023027,59,British Columbia,5915004
131,Ontario Ministry of Natural Resources and Forestry,2020,42.95052528,-79.58154182,35,Ontario,3528018
132,Ontario Ministry of Natural Resources and Forestry,2020,42.95360339,-79.58747644,35,Ontario,3528018
133,Ontario Ministry of Natural Resources and Forestry,2020,43.18530356,-79.90341267,35,Ontario,3525005
134,Ontario Ministry of Natural Resources and Forestry,2020,42.85137591,-80.59843336,35,Ontario,3528052
135,Ontario Ministry of Natural Resources and Forestry,2020,42.84947351,-80.59829605,35,Ontario,3528052
136,Ontario Ministry of Natural Resources and Forestry,2020,43.16023611,-79.38524071,35,Ontario,3526057
